-3461.17699, -63.23481, 143.32489,-796.86692, 227.30678,   0.00000
-3259.85678,-187.34012, 137.14329,-800.03657, 316.98870,   0.00000
-2490.08989,-493.86405, 199.14744,-887.49779, 271.55303,   0.00000
-2864.58154,-518.72761, 239.10282,-849.97586, 321.37158,   0.00000
-2974.37115,-599.50929, 229.15404,-925.58092, 274.36330,   0.00000
-2977.17142,-641.00209, 242.63461,-931.18122, 183.52656,   0.00000
-3011.37909,-572.22471, 421.00775,-853.56443, -59.02847,   0.00000
-2593.53894,-621.64475, 721.77029,-941.89455,-364.53957,   0.00000
-2326.35687,-410.64876, 812.53286,-918.29347,-727.70637,   0.00000
-1996.24495,-832.88542,1390.98344,-821.44427,-681.42062,   0.00000
-3165.25041,  97.69354,-109.82000,-228.38737, 237.78901,   0.00000
 342.27366,2860.24580, -10.76103,-1170.67003, 402.15627,   0.00000
 511.90485,1119.77028, -25.35202,  89.72669,-396.24144,   0.00000
-2240.58386,-858.92509, 215.05758,-114.21545, 107.90808,   0.00000
-2614.97015,-976.34637, 403.39172,-648.29153, 165.64782,   0.00000
-3061.30217,-473.38947, 279.83642,-783.01442, 291.42194,   0.00000
-1750.76927,1003.86407,-498.78167, 670.08883, 446.64253,   0.00000
 -87.56832,1844.57337,-1438.43167,2905.30070,-223.39913,   0.00000
-2496.40820,-255.48351,-251.06516, 179.27933, 252.94665,   0.00000
-2872.48560,-498.90708, 141.51888,-639.53431, 201.81827,   0.00000
-2440.79654, 617.20469, -66.70313, 142.96655,  83.19871,   0.00000
-3114.69283, 143.77773,   7.20937,-388.35901, 184.42500,   0.00000
-3333.61933,  10.18502,  86.61569,-649.15932, 217.17285,   0.00000
-3407.94415, -60.03969, 126.60812,-729.81053, 217.53235,   0.00000
-3402.89331, -96.93412, 155.13041,-767.22625, 227.49321,   0.00000
-3415.58374,-115.21127, 172.31434,-775.95875, 218.88151,   0.00000
-3389.87775,-133.25634, 171.31139,-747.69256, 196.66145,   0.00000
-3322.70161,-171.89352, 201.99906,-765.14542, 206.48673,   0.00000
-3167.75827,-307.92040, 280.30993,-801.94451, 183.21282,   0.00000
-3147.24636,-281.25721, 251.56878,-784.92473, 179.19742,   0.00000
-3462.24371, -62.19284, 143.46296,-796.67684, 225.34471,   0.00000
-3414.09982,-115.11087, 165.53122,-765.63243, 205.83896,   0.00000
-3049.89497,-548.45173, 277.03512,-454.70114, 209.91008,   0.00000
-2950.13224,-622.89095, 253.03170,-576.64057, 222.47646,   0.00000
