Y, X,ML Models,, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,,OLD BEST,PolyR,New Model,WA,,NEW BEST,,DIFF,ALL BEST,,BEST ML,ALL BEST ML,,,,LR,KNN,NN,RF,SVR,POLY,WA,,LR Best,KNN best,NN best,RF best,SVR best,POLY best,WA best
1,58, LR,,703.8978167,220.4434681,495.2982603,110.9251628,6,4,4,52.17391304,52.17391304,,POLY,0,495.2982603,925.7047163,883.410627,678.6231649,,678.6231649,,-183.3249046,495.2982603,,WA,OLD,,2390,, , , , , , ,678.6231649,, , , , , , , 
1,59, KNN,,248.9288589,52.83223947,179.1146455,47.35087077,1,1,1,50,50,,,2390,179.1146455,296.7688177,275.1935763,640.8516537,,275.1935763,,-69.81421331,179.1146455,, KNN,OLD,,,, ,275.1935763, , , , , ,, , , , , , , 
1,60, SVR,,3.45486434,0.44757668,175.4956433,44.92242025,0,0,0,52,52,,,,175.4956433,3.991214073,3.44900741,865.4855524,,3.44900741,,172.040779,3.44900741,, SVR, SVR,,,, , , , ,3.44900741, , ,, , , , ,3.44900741, , 
2,27, KNN,,10.2105717,1.637476669,311.6845494,128.0208171,0,0,0,53.84615385,53.84615385,,,,311.6845494,11.71469075,10.3498563,529.9589432,,10.3498563,,301.4739777,10.3498563,, KNN, KNN,,,, ,10.3498563, , , , , ,, ,10.3498563, , , , , 
2,28, LR,,272.6440094,84.70297863,655.4022175,276.7841797,0,0,0,55.55555556,55.55555556,,,,655.4022175,323.6165728,254.5809443,1119.705224,,254.5809443,,382.758208,254.5809443,, LR, LR,best among new and old,,,254.5809443, , , , , , ,,254.5809443, , , , , , 
2,29, LR,,618.3002006,292.506362,622.3659427,340.8420898,0,0,0,57.14285714,57.14285714,,,,622.3659427,709.696183,521.0823658,802.6157237,,521.0823658,,4.065742171,521.0823658,, LR, LR,LR,474,,521.0823658, , , , , , ,,521.0823658, , , , , , 
2,30, KNN,,1182.329837,535.422683,1465.033697,685.8565104,0,0,0,58.62068966,58.62068966,,,,1465.033697,1297.878038,1040.947415,1603.781199,,1040.947415,,282.7038597,1040.947415,, KNN, KNN,KNN,389,, ,1040.947415, , , , , ,, ,1040.947415, , , , , 
2,31, LR,,634.4230634,246.4758937,549.4738696,251.4753743,4,0,0,56.66666667,60,,,,549.4738696,664.4028067,421.6773366,621.8169345,,421.6773366,,-72.34306491,421.6773366,, LR, LR,NN,98,,421.6773366, , , , , , ,,421.6773366, , , , , , 
2,32, KNN,,1161.886955,268.5454948,648.8368054,199.7201986,14,10,10,54.83870968,58.06451613,,,,648.8368054,1237.984893,1027.225918,1048.76359,,1027.225918,,-399.9267841,648.8368054,, KNN,OLD,RF,167,, ,1027.225918, , , , , ,, , , , , , , 
2,33, LR,,1081.858118,169.9714982,884.7404516,175.6288411,2,0,0,53.125,59.375,,,,884.7404516,1131.957885,859.2164603,1158.215869,,859.2164603,,-197.1176667,859.2164603,, LR, LR,SVR,76,,859.2164603, , , , , , ,,859.2164603, , , , , , 
2,34, LR,,781.2362017,151.3055926,693.8538991,146.3785156,9,1,1,51.51515152,57.57575758,,,,693.8538991,787.3429844,587.1545442,778.5808457,,587.1545442,,-84.7269466,587.1545442,, LR, LR,POLY,41,,587.1545442, , , , , , ,,587.1545442, , , , , , 
2,35, LR,,700.3445067,160.227852,585.2982715,121.5272461,4,5,2,50,55.88235294,,,,585.2982715,762.9732215,695.1284406,723.9646861,,695.1284406,,-115.0462351,585.2982715,, LR,OLD,WA,48,,695.1284406, , , , , , ,, , , , , , , 
2,36, LR,,313.1099517,67.39980313,228.3149232,46.446875,13,8,7,48.57142857,54.28571429,,,,228.3149232,313.3546426,312.6332044,291.5047741,,291.5047741,,-63.18985089,228.3149232,,WA,OLD,,1293,, , , , , , ,291.5047741,, , , , , , , 
2,37, NN,,23.60413909,4.949617198,21.42094842,6.573719788,1,0,0,47.22222222,55.55555556,,,,21.42094842,27.87916859,23.59991099,62.77190638,,23.59991099,,-2.183190674,21.42094842,, NN,OLD,OLD,1097,, , ,23.59991099, , , , ,, , , , , , , 
2,38, SVR,,1.532054272,0.231642002,14.58352604,3.640156555,0,0,0,48.64864865,56.75675676,,,,14.58352604,21.40103161,1.532703978,189.106093,,1.532703978,,13.05147177,1.532703978,, SVR, SVR,,,, , , , ,1.532703978, , ,, , , , ,1.532703978, , 
2,39, KNN,,0.110715681,0.014293333,5.499983909,1.192274857,0,0,0,50,57.89473684,,,,5.499983909,0.301821258,0.12148904,133.4380474,,0.12148904,,5.389268228,0.12148904,, KNN, KNN,,,, ,0.12148904, , , , , ,, ,0.12148904, , , , , 
2,48, RF,,0.00285,0.00285,35.78504256,9.324131266,0,0,0,51.28205128,58.97435897,,,,35.78504256,0.928407835,0,286.8088154,,0,,35.78219256,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
2,49, RF,,0.048560755,0.048560755,224.151054,75.57641602,0,0,0,52.5,60,,,,224.151054,0.147435651,0,546.2241733,,0,,224.1024932,0,, RF, RF,,,, , , ,0, , , ,, , , ,0, , , 
2,50, NN,,14.10599802,2.665516901,116.2739044,36.4697998,0,0,0,53.65853659,60.97560976,,,,116.2739044,14.71683642,14.29484292,528.4284343,,14.29484292,,102.1679063,14.29484292,, NN, NN,,,, , ,14.29484292, , , , ,, , ,14.29484292, , , , 
2,51, NN,,175.9753848,29.24662355,185.4846299,46.16116536,0,0,0,54.76190476,61.9047619,,,,185.4846299,182.0372014,176.1097165,358.1725143,,176.1097165,,9.509245072,176.1097165,, NN, NN,,,, , ,176.1097165, , , , ,, , ,176.1097165, , , , 
2,52, LR,,411.9090692,77.82892364,177.9487005,80.43969727,13,0,0,53.48837209,62.79069767,,,,177.9487005,599.9658309,288.321056,267.1141766,,267.1141766,,-89.16547611,177.9487005,,WA,OLD,,,, , , , , , ,267.1141766,, , , , , , , 
2,53, NN,,62.04782459,17.16847247,28.7054832,12.04913635,4,2,2,52.27272727,61.36363636,,,,28.7054832,71.71490491,61.94797262,143.7542536,,61.94797262,,-33.3423414,28.7054832,, NN,OLD,,,, , ,61.94797262, , , , ,, , , , , , , 
2,54, NN,,265.1783388,60.57230072,189.897231,61.89961344,2,0,0,51.11111111,62.22222222,,,,189.897231,551.0112641,265.2267184,435.9555788,,265.2267184,,-75.28110785,189.897231,, NN,OLD,,,, , ,265.2267184, , , , ,, , , , , , , 
2,55, LR,,493.1166225,152.5101512,503.4867426,183.3118327,0,0,0,52.17391304,63.04347826,,,,503.4867426,596.8978687,327.9372709,804.4427056,,327.9372709,,10.3701201,327.9372709,, LR, LR,,,,327.9372709, , , , , , ,,327.9372709, , , , , , 
2,56, LR,,1263.177417,291.1266007,682.9077537,224.4495117,10,5,3,51.06382979,61.70212766,,,,682.9077537,1282.543525,576.5257274,1084.120826,,576.5257274,,-401.2130727,576.5257274,, LR, LR,,,,576.5257274, , , , , , ,,576.5257274, , , , , , 
2,57, LR,,476.2487802,165.3496115,631.8196209,169.0649414,0,0,0,52.08333333,62.5,,,,631.8196209,862.6294045,544.7653124,745.9486131,,544.7653124,,155.5708407,544.7653124,, LR, LR,,,,544.7653124, , , , , , ,,544.7653124, , , , , , 
2,58, LR,,430.7550669,120.2682773,435.4172137,118.5197428,0,1,0,53.06122449,61.2244898,,,,435.4172137,554.6619403,366.4189047,360.7109762,,360.7109762,,74.70623754,360.7109762,,WA,WA,,,, , , , , , ,360.7109762,, , , , , , ,360.7109762
2,59, NN,,45.56834131,10.93294789,41.17112408,11.82706197,2,0,0,52,62,,,,41.17112408,67.95710931,45.51213485,245.6134473,,45.51213485,,-4.397217221,41.17112408,, NN,OLD,,,, , ,45.51213485, , , , ,, , , , , , , 
2,60, RF,,0.69565662,0.089979998,8.887787882,2.11168836,0,0,0,52.94117647,62.74509804,,,,8.887787882,18.89054198,0.69698207,177.3142591,,0.69698207,,8.192131262,0.69698207,, RF, RF,,,, , , ,0.69698207, , , ,, , , ,0.69698207, , , 
3,27, LR,,23.67387679,5.759588959,255.0026307,95.63138835,0,0,0,53.84615385,63.46153846,,,,255.0026307,24.89639231,24.63636753,395.0262112,,24.63636753,,231.3287539,24.63636753,, LR, LR,,,,24.63636753, , , , , , ,,24.63636753, , , , , , 
3,28, LR,,371.3422406,109.9109955,310.0406694,146.8827148,4,0,0,52.83018868,64.1509434,,,,310.0406694,435.1630647,431.8189866,394.0980692,,394.0980692,,-61.30157123,310.0406694,,WA,OLD,,,, , , , , , ,394.0980692,, , , , , , , 
3,29, LR,,960.0996334,449.1829672,737.3646045,513.5987305,1,0,0,51.85185185,64.81481481,,,,737.3646045,1044.582698,864.1367433,1084.452857,,864.1367433,,-222.7350288,737.3646045,, LR,OLD,,,,864.1367433, , , , , , ,, , , , , , , 
3,30, KNN,,968.6229145,382.4820009,773.3924403,349.3424805,4,3,3,50.90909091,63.63636364,,,,773.3924403,1068.041642,980.7441618,888.9415429,,888.9415429,,-115.5491026,773.3924403,,WA,OLD,,,, , , , , , ,888.9415429,, , , , , , , 
3,31, KNN,,559.5280259,188.8513371,473.2127429,154.9811198,4,3,3,50,62.5,,,,473.2127429,569.2004136,444.6979981,540.4783067,,444.6979981,,-67.26556383,444.6979981,, KNN, KNN,,,, ,444.6979981, , , , , ,, ,444.6979981, , , , , 
3,32, KNN,,470.9977962,114.0614348,292.1481787,101.2817952,4,3,3,49.12280702,61.40350877,,,,292.1481787,574.8573536,341.127523,399.450435,,341.127523,,-107.3022562,292.1481787,, KNN,OLD,,,, ,341.127523, , , , , ,, , , , , , , 
3,33, KNN,,349.2268494,89.32822772,273.979105,75.04710286,3,3,3,48.27586207,60.34482759,,,,273.979105,455.873117,391.3543261,643.2828305,,391.3543261,,-75.24774437,273.979105,, KNN,OLD,,,, ,391.3543261, , , , , ,, , , , , , , 
3,34, NN,,613.1400402,121.214385,568.0094483,112.5082113,5,3,3,47.45762712,59.3220339,,,,568.0094483,609.3109249,616.527547,640.0414049,,609.3109249,,-45.13059192,568.0094483,,POLY,OLD,,,, , , , , ,609.3109249, ,, , , , , , , 
3,35, KNN,,365.9486437,106.9548628,322.2270421,74.99632161,4,7,3,46.66666667,58.33333333,,,,322.2270421,476.9635054,413.9212718,429.9117351,,413.9212718,,-43.72160159,322.2270421,, KNN,OLD,,,, ,413.9212718, , , , , ,, , , , , , , 
3,36, LR,,123.8699115,38.85764789,113.1567037,27.21572469,3,8,3,45.90163934,57.37704918,,,,113.1567037,150.7114471,150.7504116,119.3678314,,119.3678314,,-6.211127712,113.1567037,,WA,OLD,,,, , , , , , ,119.3678314,, , , , , , , 
3,37, NN,,51.8309007,11.04318905,60.34158193,12.60455017,0,0,0,46.77419355,58.06451613,,,,60.34158193,58.88494003,58.88498142,140.1787449,,58.88494003,,8.51068123,58.88494003,,POLY,POLY,,,, , , , , ,58.88494003, ,, , , , , ,58.88494003, 
3,38, NN,,27.07806237,5.123627648,12.70983576,2.631769816,4,1,1,46.03174603,57.14285714,,,,12.70983576,27.06856014,27.02765382,81.08444993,,27.02765382,,-14.36822661,12.70983576,, NN,OLD,,,, , ,27.02765382, , , , ,, , , , , , , 
3,39, NN,,3.452920219,0.449529998,14.87085136,3.889246877,0,0,0,46.875,57.8125,,,,14.87085136,3.472527815,3.45525996,473.220051,,3.45525996,,11.41793114,3.45525996,, NN, NN,,,, , ,3.45525996, , , , ,, , ,3.45525996, , , , 
3,48, SVR,,0.335327323,0.070906166,81.26954573,21.70847778,0,0,0,47.69230769,58.46153846,,,,81.26954573,22.46321763,0.335226382,242.8610016,,0.335226382,,80.9342184,0.335226382,, SVR, SVR,,,, , , , ,0.335226382, , ,, , , , ,0.335226382, , 
3,49, SVR,,4.311489525,0.598844452,117.5546416,27.02521769,0,0,0,48.48484848,59.09090909,,,,117.5546416,459.7384334,4.305801487,322.2251569,,4.305801487,,113.243152,4.305801487,, SVR, SVR,,,, , , , ,4.305801487, , ,, , , , ,4.305801487, , 
3,50, RF,,2.194108624,0.425569486,28.66559848,11.36015218,0,0,0,49.25373134,59.70149254,,,,28.66559848,2.9519391,2.17532442,361.7052286,,2.17532442,,26.47148986,2.17532442,, RF, RF,,,, , , ,2.17532442, , , ,, , , ,2.17532442, , , 
3,51, KNN,,265.4311199,62.60026637,169.4367507,60.58249512,3,1,1,48.52941176,58.82352941,,,,169.4367507,282.7295648,263.5567158,326.0714802,,263.5567158,,-95.9943692,169.4367507,, KNN,OLD,,,, ,263.5567158, , , , , ,, , , , , , , 
3,52, KNN,,165.4605882,56.65671815,178.6218597,51.75336914,0,2,0,49.27536232,57.97101449,,,,178.6218597,247.4640043,156.6497433,178.1632036,,156.6497433,,13.16127142,156.6497433,, KNN, KNN,,,, ,156.6497433, , , , , ,, ,156.6497433, , , , , 
3,53, KNN,,210.8535831,91.23192889,249.9799742,69.58632813,0,3,0,50,57.14285714,,,,249.9799742,309.6827332,180.89504,310.9059616,,180.89504,,39.12639114,180.89504,, KNN, KNN,,,, ,180.89504, , , , , ,, ,180.89504, , , , , 
3,54, KNN,,298.3956437,84.62226429,220.4683556,75.58681641,4,2,2,49.29577465,56.33802817,,,,220.4683556,529.1407263,302.9948015,539.5005097,,302.9948015,,-77.92728803,220.4683556,, KNN,OLD,,,, ,302.9948015, , , , , ,, , , , , , , 
3,55, NN,,173.772924,48.09282307,211.6346203,55.54295654,0,0,0,50,56.94444444,,,,211.6346203,312.2828982,211.9938324,339.1925707,,211.9938324,,37.86169631,211.6346203,, NN,OLD,,,, , ,211.9938324, , , , ,, , , , , , , 
3,56, KNN,,697.4411709,107.0588369,608.834077,108.6663167,5,0,0,49.31506849,57.53424658,,,,608.834077,727.5705984,710.7891764,718.5838238,,710.7891764,,-88.60709392,608.834077,, KNN,OLD,,,, ,710.7891764, , , , , ,, , , , , , , 
3,57, NN,,123.5295061,23.25837382,120.6930162,23.81871338,2,0,0,48.64864865,58.10810811,,,,120.6930162,436.5314756,123.6137754,144.5223852,,123.6137754,,-2.836489902,120.6930162,, NN,OLD,,,, , ,123.6137754, , , , ,, , , , , , , 
3,58, KNN,,37.30125517,9.616910566,38.04718664,10.43789266,0,0,0,49.33333333,58.66666667,,,,38.04718664,40.9877859,34.37045699,260.9973699,,34.37045699,,0.745931475,34.37045699,, KNN, KNN,,,, ,34.37045699, , , , , ,, ,34.37045699, , , , , 
3,59, KNN,,25.67156887,4.477266512,27.36681527,5.055919902,0,0,0,50,59.21052632,,,,27.36681527,68.44326425,24.63489506,191.606102,,24.63489506,,1.695246406,24.63489506,, KNN, KNN,,,, ,24.63489506, , , , , ,, ,24.63489506, , , , , 
3,60, RF,,0.155551878,0.155521382,3.98909022,1.096715037,0,0,0,50.64935065,59.74025974,,,,3.98909022,4.082311362,0.043157946,381.4990515,,0.043157946,,3.833538341,0.043157946,, RF, RF,,,, , , ,0.043157946, , , ,, , , ,0.043157946, , , 
3,61, RF,,0.002220511,0.000286667,7.396711729,2.205456797,0,0,0,51.28205128,60.25641026,,,,7.396711729,0.013102163,0.002220511,223.3993346,,0.002220511,,7.394491218,0.002220511,, RF, RF,,,, , , ,0.002220511, , , ,, , , ,0.002220511, , , 
4,25, RF,,0.219471109,0.028378334,115.6487588,34.05161336,0,0,0,51.89873418,60.75949367,,,,115.6487588,0.219470842,0.219817627,329.0155995,,0.219470842,,115.4292877,0.219470842,,POLY,POLY,,,, , , , , ,0.219470842, ,, , , , , ,0.219470842, 
4,26, LR,,71.67522693,13.4121652,220.3164485,75.91436361,0,0,0,52.5,61.25,,,,220.3164485,84.42215561,82.84159949,340.7794093,,82.84159949,,148.6412216,82.84159949,, LR, LR,,,,82.84159949, , , , , , ,,82.84159949, , , , , , 
4,27, LR,,153.9130467,53.35798404,262.0816953,120.945931,0,0,0,53.08641975,61.72839506,,,,262.0816953,163.382858,145.1778311,422.1895309,,145.1778311,,108.1686486,145.1778311,, LR, LR,,,,145.1778311, , , , , , ,,145.1778311, , , , , , 
4,28, LR,,456.2437043,212.5864955,361.601922,241.7127604,2,0,0,52.43902439,62.19512195,,,,361.601922,614.6741349,526.1849592,460.9230238,,460.9230238,,-94.64178226,361.601922,,WA,OLD,,,, , , , , , ,460.9230238,, , , , , , , 
4,29, LR,,902.8519155,420.7722624,1009.455827,453.9488281,0,0,0,53.01204819,62.65060241,,,,1009.455827,993.4440676,936.8263012,1136.52918,,936.8263012,,106.6039115,936.8263012,, LR, LR,,,,936.8263012, , , , , , ,,936.8263012, , , , , , 
4,30, KNN,,1075.244132,362.2670966,830.9835137,362.3791341,5,0,0,52.38095238,63.0952381,,,,830.9835137,1193.894907,994.5124587,1096.828463,,994.5124587,,-244.2606179,830.9835137,, KNN,OLD,,,, ,994.5124587, , , , , ,, , , , , , , 
4,31, KNN,,329.5574382,129.3512615,311.0672114,163.424056,1,0,0,51.76470588,63.52941176,,,,311.0672114,754.0218263,299.8675154,476.4527784,,299.8675154,,-18.49022683,299.8675154,, KNN, KNN,,,, ,299.8675154, , , , , ,, ,299.8675154, , , , , 
4,32, NN,,100.5842757,27.04842594,284.2635074,114.8805176,0,0,0,52.3255814,63.95348837,,,,284.2635074,153.2193688,100.5967747,868.4345303,,100.5967747,,183.6792318,100.5967747,, NN, NN,,,, , ,100.5967747, , , , ,, , ,100.5967747, , , , 
4,33, NN,,155.8014186,46.59660456,301.7083995,114.8246094,0,0,0,52.87356322,64.36781609,,,,301.7083995,291.1272213,293.399415,1991.990897,,291.1272213,,145.906981,291.1272213,,POLY,POLY,,,, , , , , ,291.1272213, ,, , , , , ,291.1272213, 
4,34, KNN,,335.4905147,98.07618301,333.8666051,98.98591309,1,0,0,52.27272727,64.77272727,,,,333.8666051,441.466658,388.6673707,862.6402108,,388.6673707,,-1.623909595,333.8666051,, KNN,OLD,,,, ,388.6673707, , , , , ,, , , , , , , 
4,35, KNN,,557.4588387,139.9934548,369.3962777,136.4872721,2,1,0,51.68539326,64.04494382,,,,369.3962777,609.1913903,572.6760788,673.2577763,,572.6760788,,-188.062561,369.3962777,, KNN,OLD,,,, ,572.6760788, , , , , ,, , , , , , , 
4,36, LR,,1312.296409,226.977521,448.6587233,83.36805013,10,3,3,51.11111111,63.33333333,,,,448.6587233,1332.956234,1137.035228,749.6626352,,749.6626352,,-301.0039119,448.6587233,,WA,OLD,,,, , , , , , ,749.6626352,, , , , , , , 
4,37, LR,,772.7048101,114.5168315,207.6869941,93.90916341,12,3,3,50.54945055,62.63736264,,,,207.6869941,772.8824645,678.1787683,597.8645332,,597.8645332,,-390.1775391,207.6869941,,WA,OLD,,,, , , , , , ,597.8645332,, , , , , , , 
4,38, NN,,62.00372838,11.91390177,55.08322538,11.31037598,4,1,1,50,61.95652174,,,,55.08322538,61.55491912,62.05593144,176.4479562,,61.55491912,,-6.920502992,55.08322538,,POLY,OLD,,,, , , , , ,61.55491912, ,, , , , , , , 
4,39, SVR,,0.543005109,0.169561956,3.77826506,1.366196823,0,0,0,50.53763441,62.3655914,,,,3.77826506,2.135095262,0.5428695,702.0182334,,0.5428695,,3.235259952,0.5428695,, SVR, SVR,,,, , , , ,0.5428695, , ,, , , , ,0.5428695, , 
4,40, KNN,,0,0,5.753567062,1.358486557,0,0,0,51.06382979,62.76595745,,,,5.753567062,0.004443988,0,1156.089385,,0,,5.753567062,0,, KNN, KNN,,,, ,0, , , , , ,, ,0, , , , , 
4,48, NN,,4.448893821,0.816281668,1.647938683,0.866430028,1,0,0,50.52631579,63.15789474,,,,1.647938683,4.518623712,4.4536721,71.38593355,,4.4536721,,-2.800955137,1.647938683,, NN,OLD,,,, , ,4.4536721, , , , ,, , , , , , , 
4,49, NN,,55.33931095,10.19214753,14.54415959,11.97663879,1,0,0,50,63.54166667,,,,14.54415959,55.26432877,55.38682256,131.2529072,,55.26432877,,-40.79515136,14.54415959,,POLY,OLD,,,, , , , , ,55.26432877, ,, , , , , , , 
4,50, NN,,29.88837063,6.788137808,32.65941372,9.953521729,0,0,0,50.51546392,63.91752577,,,,32.65941372,31.66616484,29.81018515,174.3485003,,29.81018515,,2.77104309,29.81018515,, NN, NN,,,, , ,29.81018515, , , , ,, , ,29.81018515, , , , 
4,51, NN,,512.3706143,95.18496491,345.0832025,95.94485677,3,0,0,50,64.28571429,,,,345.0832025,555.0069593,554.0018344,508.2317299,,508.2317299,,-163.1485273,345.0832025,,WA,OLD,,,, , , , , , ,508.2317299,, , , , , , , 
4,52, NN,,252.1305832,36.07837912,127.8710206,22.36789958,3,1,1,49.49494949,63.63636364,,,,127.8710206,335.8189008,270.1698795,277.2663708,,270.1698795,,-124.2595626,127.8710206,, NN,OLD,,,, , ,270.1698795, , , , ,, , , , , , , 
4,53, NN,,37.50332576,6.421016205,63.20091763,15.07262573,0,0,0,50,64,,,,63.20091763,163.9120783,37.45930677,210.303248,,37.45930677,,25.69759187,37.45930677,, NN, NN,,,, , ,37.45930677, , , , ,, , ,37.45930677, , , , 
4,54, KNN,,125.4750131,35.16484423,134.1176644,35.27612305,0,0,0,50.4950495,64.35643564,,,,134.1176644,177.0933362,44.30477768,146.871492,,44.30477768,,8.642651345,44.30477768,, KNN, KNN,,,, ,44.30477768, , , , , ,, ,44.30477768, , , , , 
4,55, RF,,181.7042806,40.70254178,196.0627982,47.46901042,0,0,0,50.98039216,64.70588235,,,,196.0627982,215.5196525,197.5537175,295.1194525,,197.5537175,,14.35851759,196.0627982,, RF,OLD,,,, , , ,197.5537175, , , ,, , , , , , , 
