Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw, 
1, 27, 458.8862630208333, 515.3031901041667, 382.01575520833336, 363.146875, 463.55654296875, 513.1805338541667, 361.7032877604167, 458.29716796875, 359.45452473958335, 366.20237630208334, 215.12529296875, 292.06946614583336, 351.9339192708333, 464.480078125, 300.2546875, 369.4623046875, 281.31744791666665, 307.21949869791666, 213.80439453125, 294.0647786458333, 274.42421875, 249.879931640625, 323.7516276041667, 336.95970052083334, 
1, 28, 1220.3704427083333, 901.7096354166666, 821.8707682291666, 675.3118489583334, 827.0086588541667, 909.3197265625, 773.5113932291666, 932.0369791666667, 688.2938802083333, 954.2744791666667, 745.1772135416667, 754.2138671875, 875.9239583333333, 962.6432291666666, 602.7291666666666, 674.4211588541667, 687.0549479166667, 711.5592447916666, 653.1506510416667, 674.9828776041667, 702.4613932291667, 651.882421875, 719.951171875, 617.5670572916666, 
1, 29, 761.9921875, 811.8201822916667, 629.1267578125, 612.7281901041666, 643.3179036458333, 875.2981119791667, 714.0049479166667, 758.5723958333333, 598.2026692708333, 770.021875, 657.9486328125, 630.953125, 582.3707682291666, 781.278125, 532.7322265625, 687.9202473958334, 605.9087239583333, 604.3614583333333, 506.34755859375, 706.0528645833333, 598.5723307291667, 537.3546223958333, 679.8085286458333, 536.70341796875, 
1, 30, 1337.809765625, 1306.1748697916667, 1101.7828125, 1165.68515625, 1117.2162760416666, 1432.5169270833333, 1263.0885416666667, 1584.3802083333333, 1102.932421875, 1601.937890625, 1164.2147135416667, 1211.573828125, 975.2841796875, 1280.1669270833333, 995.1266927083333, 1162.86484375, 1083.7544270833334, 1532.9270833333333, 1254.0069010416667, 1089.75625, 1204.2911458333333, 843.8081380208333, 1307.592578125, 1211.019140625, 
1, 31, 534.6589518229167, 519.8979166666667, 345.48645833333336, 386.10755208333336, 406.86725260416665, 434.25927734375, 427.6986979166667, 842.0357421875, 671.0086588541667, 1122.228125, 565.4931640625, 488.5828125, 993.6279947916667, 884.8544921875, 589.91640625, 655.5277994791667, 731.9597005208333, 753.9246744791667, 503.91188151041666, 448.72955729166665, 409.8255208333333, 812.8865885416667, 522.8675130208334, 547.0639973958333, 
1, 32, 381.19690755208336, 435.82265625, 352.66481119791666, 393.08190104166664, 365.54736328125, 354.22509765625, 455.14215494791665, 329.51474609375, 344.6158203125, 355.0688802083333, 357.6571940104167, 321.995703125, 596.3165364583333, 315.26149088541666, 559.3296223958333, 360.58190104166664, 323.71116536458334, 321.2493489583333, 343.3642252604167, 324.80100911458334, 292.60491536458335, 527.768359375, 345.32880859375, 542.6528971354167, 
1, 33, 300.06324869791666, 319.05738932291666, 308.1997395833333, 298.42845052083334, 308.41197916666664, 301.31376953125, 274.10045572916664, 267.06316731770835, 256.72068684895834, 258.4150065104167, 267.41350911458335, 265.43011067708335, 379.65423177083335, 247.09479166666668, 434.19853515625, 322.8988932291667, 285.94345703125, 249.71261393229167, 253.89375, 355.80247395833334, 254.96497395833333, 359.48131510416664, 235.28522135416668, 335.57740885416666, 
1, 34, 260.83074544270835, 274.17600911458334, 258.777783203125, 238.00379231770833, 273.04860026041666, 254.58382161458334, 179.51477864583333, 226.69697265625, 220.58011067708333, 222.61834309895832, 183.17766927083332, 216.34052734375, 285.49342447916666, 221.47373046875, 491.73186848958335, 296.29912109375, 221.500146484375, 220.73430989583332, 307.72109375, 257.99195963541666, 211.198193359375, 291.35266927083336, 219.02102864583333, 339.64508463541665, 
1, 35, 286.29615885416666, 258.81414388020835, 245.430078125, 253.04752604166666, 255.38043619791668, 250.18863932291666, 202.97737630208334, 187.70460611979166, 216.62731119791667, 215.85890299479166, 147.43258463541667, 220.38326822916667, 254.76962890625, 218.61993815104168, 521.3411783854167, 304.24156901041664, 212.26845703125, 214.01043294270832, 208.39640299479166, 242.94205729166666, 221.57086588541668, 234.26236979166666, 216.26549479166667, 382.7964192708333, 
1, 36, 266.81708984375, 147.37141927083334, 146.372607421875, 155.35613606770832, 153.967138671875, 143.97667643229167, 126.71653645833334, 158.60859375, 120.678662109375, 121.041064453125, 100.38489583333333, 124.61512858072916, 119.79175618489583, 127.19835611979167, 126.03772786458333, 406.4236328125, 116.452197265625, 116.2360107421875, 107.08931477864583, 279.0068359375, 117.88479817708334, 117.14759114583333, 115.251806640625, 112.24442545572917, 
1, 37, 52.29873453776042, 40.79254150390625, 34.42848307291667, 51.46765950520833, 44.7212890625, 38.703800455729166, 16.060526529947918, 132.93391927083334, 19.421451822916666, 23.46115519205729, 49.009602864583336, 26.228558349609376, 19.94384765625, 29.1341552734375, 15.481622314453125, 560.8102213541666, 10.229408772786458, 14.422344970703126, 25.284869384765624, 175.04501953125, 16.664208984375, 15.23983154296875, 16.547163899739584, 12.585537719726563, 
