Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw, 
1, 27, 1387.3795443208755, 1549.3765627933492, 1548.600055964526, 1384.8240321427124, 1331.4596000880638, 1344.5135923448302, 908.7719552597707, 1550.5522629050593, 1011.2623794050681, 1056.4578868401081, 1006.3239239926675, 1005.978263516, 1097.7060322934067, 1416.4054504272426, 934.8085008884618, 1029.607886527682, 745.9689448406459, 892.7569658087244, 734.529736180458, 817.3518214330962, 851.6539986011534, 811.863206868415, 1058.1503358849031, 966.0642835753737, 
1, 28, 3121.2245460182235, 2296.63789048252, 2233.799274778287, 2259.2646591313733, 1985.0029051196204, 2453.865739331854, 2263.2185930660785, 2894.7461374013437, 2588.4795022045923, 2406.2146205191257, 2728.9172651438153, 2359.0247702528827, 2579.196877582891, 2967.7565937926915, 1894.6293217056118, 1730.1567559039268, 2186.8086945745085, 1934.5555906546945, 1961.0157911993806, 1790.5290093526364, 2038.602854898423, 1952.7320348680717, 2168.204664386337, 1857.7191750459306, 
1, 29, 1559.5731039828388, 1933.6824282527193, 1297.3816195193558, 1248.7016190160616, 1308.6358800929565, 2160.768628675145, 1858.7848360331184, 2379.5247928945814, 1771.703963232383, 1942.9718817660057, 2050.1678370318855, 1830.2598722585817, 1763.9729400796753, 1984.5720277514074, 1512.8719707893329, 1880.1878629541252, 1683.8500329106903, 1615.1719825867874, 1406.8342712155782, 1948.2292815100932, 1697.822762638472, 1545.8735610219442, 1697.8822888135287, 1483.3885532792815, 
1, 30, 3688.496712754398, 2907.6741678989183, 3155.236747588576, 3171.3003011383203, 2444.0420072767433, 3717.4530348972353, 3561.213875445656, 4836.022167029428, 2674.5656345158804, 3673.9736163088232, 4186.182375386911, 3195.902543361838, 2564.8758774386465, 4001.5305071934663, 2374.380592912602, 2858.7701784741867, 2508.741198290489, 3802.954220076808, 3400.7975535159394, 2834.5906230000833, 3035.212546099531, 2057.7267716260744, 3763.190844660065, 2713.6488596230233, 
1, 31, 1260.099625691027, 1090.3388464142695, 783.8757979850294, 869.7372400137106, 1010.8787596278135, 1029.7363416590351, 922.5440188233116, 2784.1940162280357, 1748.7524696194141, 2606.179221261142, 1773.199413489639, 1000.5955559898648, 3266.88238743505, 2446.320338794574, 1519.863327188775, 1514.8528641422572, 1825.9066058627789, 2032.9133118097616, 1189.482240304579, 1073.4818116763786, 840.6750462178197, 2317.6267171397553, 1096.5977688590592, 1410.6701008149755, 
1, 32, 1585.8197459568557, 1658.49433724287, 1584.0009259256553, 1639.7633975668564, 1590.0970201007651, 1574.9271305894335, 1760.5365091357803, 1547.2385207200603, 1489.6520846604865, 1438.3040939476834, 1573.307344418121, 1490.4368039828682, 2195.0722994926614, 1303.9593040684463, 2083.622742564818, 1569.2757565195482, 1540.9204175859743, 1551.3300959714109, 1540.618317429726, 1559.910082878711, 1508.5809667808132, 1799.1757372011589, 1546.6693678137333, 2078.9109328363893, 
1, 33, 1075.4728572431136, 1087.9175826627065, 1080.9558116161209, 1075.4247532951806, 1074.7673236566136, 1077.3492779348146, 1044.835170413656, 1075.8999581745506, 1001.3968577275778, 1018.135027063372, 1112.402193453429, 1031.7863473930379, 1212.8149625286346, 954.6677257908464, 1722.9911975012137, 1303.9222880729255, 1063.3589547592414, 1043.7487564862852, 939.3777018146995, 1282.5009941516614, 977.5239809505101, 1197.4151048543413, 957.0934123689286, 1220.9740373980112, 
1, 34, 1144.6515627036902, 1172.5427639678364, 1152.865242197312, 1146.7682125579402, 1152.3500625533313, 1154.141354716426, 795.1006644863697, 1056.6957556458717, 1126.087918414899, 1135.3269719923567, 931.3310045306126, 1036.4816769565523, 1172.9079531943958, 1141.4022370166736, 1951.2364626906021, 1117.8323666811584, 1133.9372116656195, 1134.6583039253123, 1121.3674390374163, 1158.4621415192355, 1003.6363883399207, 1232.94974214956, 1130.1478369369793, 1444.9202976865772, 
1, 35, 1005.2892121175876, 1103.8936542982751, 1105.6140375375123, 1114.9259467187346, 1110.4922031843957, 1111.0971754681646, 1011.7275983847298, 931.7391051147312, 1104.9276899417446, 1101.8025231410572, 682.3827957971977, 1087.9840685108093, 1132.5707041946653, 1112.7773661728866, 1509.423466095582, 1301.582523955614, 1096.9018795376974, 1100.552527899812, 773.0265627173924, 1052.4032813834565, 1110.3957852945948, 1110.956824843642, 1109.2712923356487, 1319.8353937770673, 
1, 36, 957.0268892077519, 631.9409782566723, 624.6455528270947, 640.4216059232647, 638.7562393693962, 635.4120972513298, 634.6469097064919, 721.8426698387952, 634.4479227380815, 625.9542581797278, 506.8138514287075, 627.9425398341264, 635.6720328387378, 639.9748692982665, 581.9584750363781, 1821.5343715304048, 630.8976673492039, 620.1439617809185, 524.4783916743695, 1153.3492099099908, 617.5948780012131, 634.909179856983, 618.1352063532164, 581.4583963334493, 
