Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,,,,,,,,
1,27,1387.379544,1549.376563,1548.600056,1384.824032,1331.4596,1344.513592,908.7719553,1550.552263,1011.262379,1056.457887,1006.323924,1005.978264,1097.706032,1416.40545,934.8085009,1029.607887,745.9689448,892.7569658,734.5297362,817.3518214,851.6539986,811.8632069,1058.150336,966.0642836,734.5297362,,4.208527023,983.7878559,,4.208527023,,730.3212092,,GT ZERO,1217,,,,,
1,28,3121.224546,2296.63789,2233.799275,2259.264659,1985.002905,2453.865739,2263.218593,2894.746137,2588.479502,2406.214621,2728.917265,2359.02477,2579.196878,2967.756594,1894.629322,1730.156756,2186.808695,1934.555591,1961.015791,1790.529009,2038.602855,1952.732035,2168.204664,1857.719175,1730.156756,,31.23462331,2059.111987,,31.23462331,,1698.922133,,max,1698.922133,,,,,
1,29,1559.573104,1933.682428,1297.38162,1248.701619,1308.63588,2160.768629,1858.784836,2379.524793,1771.703963,1942.971882,2050.167837,1830.259872,1763.97294,1984.572028,1512.871971,1880.187863,1683.850033,1615.171983,1406.834271,1948.229282,1697.822763,1545.873561,1697.882289,1483.388553,1248.701619,,504.203277,1448.373248,,504.203277,,744.498342,,,,,,,,
1,30,3688.496713,2907.674168,3155.236748,3171.300301,2444.042007,3717.453035,3561.213875,4836.022167,2674.565635,3673.973616,4186.182375,3195.902543,2564.875877,4001.530507,2374.380593,2858.770178,2508.741198,3802.95422,3400.797554,2834.590623,3035.212546,2057.726772,3763.190845,2713.64886,2057.726772,,1022.630086,2689.969616,,1022.630086,,1035.096686,,,,,,,,
1,31,1260.099626,1090.338846,783.875798,869.73724,1010.87876,1029.736342,922.5440188,2784.194016,1748.75247,2606.179221,1773.199413,1000.595556,3266.882387,2446.320339,1519.863327,1514.852864,1825.906606,2032.913312,1189.48224,1073.481812,840.6750462,2317.626717,1096.597769,1410.670101,783.875798,,1049.628958,967.7824136,,967.7824136,,-183.9066156,,,,,,,,
1,32,1585.819746,1658.494337,1584.000926,1639.763398,1590.09702,1574.927131,1760.536509,1547.238521,1489.652085,1438.304094,1573.307344,1490.436804,2195.072299,1303.959304,2083.622743,1569.275757,1540.920418,1551.330096,1540.618317,1559.910083,1508.580967,1799.175737,1546.669368,2078.910933,1303.959304,,1527.719941,1536.207798,,1527.719941,,-223.7606369,,,,,,,,
1,33,1075.472857,1087.917583,1080.955812,1075.424753,1074.767324,1077.349278,1044.83517,1075.899958,1001.396858,1018.135027,1112.402193,1031.786347,1212.814963,954.6677258,1722.991198,1303.922288,1063.358955,1043.748756,939.3777018,1282.500994,977.523981,1197.415105,957.0934124,1220.974037,939.3777018,,871.9414695,1012.562854,,871.9414695,,67.43623234,,,,,,,,
1,34,1144.651563,1172.542764,1152.865242,1146.768213,1152.350063,1154.141355,795.1006645,1056.695756,1126.087918,1135.326972,931.3310045,1036.481677,1172.907953,1141.402237,1951.236463,1117.832367,1133.937212,1134.658304,1121.367439,1158.462142,1003.636388,1232.949742,1130.147837,1444.920298,795.1006645,,1134.720063,1089.007989,,1089.007989,,-293.9073245,,,,,,,,
1,35,1005.289212,1103.893654,1105.614038,1114.925947,1110.492203,1111.097175,1011.727598,931.7391051,1104.92769,1101.802523,682.3827958,1087.984069,1132.570704,1112.777366,1509.423466,1301.582524,1096.90188,1100.552528,773.0265627,1052.403281,1110.395785,1110.956825,1109.271292,1319.835394,682.3827958,,966.2481759,1056.4234,,966.2481759,,-283.8653801,,,,347.4469809,-,347.828935,,-0.109931616
1,36,957.0268892,631.9409783,624.6455528,640.4216059,638.7562394,635.4120973,634.6469097,721.8426698,634.4479227,625.9542582,506.8138514,627.9425398,635.6720328,639.9748693,581.958475,1821.534372,630.8976673,620.1439618,524.4783917,1153.34921,617.594878,634.9091799,618.1352064,581.4583963,506.8138514,,631.5619264,610.4759073,,610.4759073,,-103.6620558,,,,,,,,
