Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,
3,32, KNN, KNN,470.9977962,114.0614348,292.1481787,101.2817952,4,3,3,49.12280702,61.40350877,,,
3,33, KNN, KNN,349.2268494,89.32822772,273.979105,75.04710286,3,3,3,48.27586207,60.34482759,,,
3,34, KNN, KNN,613.1400402,121.214385,568.0094483,112.5082113,5,3,3,47.45762712,59.3220339,,,
3,35, LR, SVR,365.9486437,106.9548628,322.2270421,74.99632161,4,7,3,46.66666667,58.33333333,,,
3,36, KNN, SVR,123.8699115,38.85764789,113.1567037,27.21572469,3,8,3,45.90163934,57.37704918,,,
3,37, KNN, SVR,51.8309007,11.04318905,60.34158193,12.60455017,0,0,0,46.77419355,58.06451613,,,
3,38, NN, SVR,27.07806237,5.123627648,12.70983576,2.631769816,4,1,1,46.03174603,57.14285714,,,
3,39, NN, RF,3.452920219,0.449529998,14.87085136,3.889246877,0,0,0,46.875,57.8125,,,
3,48, SVR, SVR,0.335327323,0.070906166,81.26954573,21.70847778,0,0,0,47.69230769,58.46153846,,,
3,49, SVR, SVR,4.311489525,0.598844452,117.5546416,27.02521769,0,0,0,48.48484848,59.09090909,,,
3,50, SVR, SVR,2.194108624,0.425569486,28.66559848,11.36015218,0,0,0,49.25373134,59.70149254,,,
3,51, LR, KNN,265.4311199,62.60026637,169.4367507,60.58249512,3,1,1,48.52941176,58.82352941,,,
3,52, KNN, KNN,165.4605882,56.65671815,178.6218597,51.75336914,0,2,0,49.27536232,57.97101449,,,
3,53, KNN, KNN,210.8535831,91.23192889,249.9799742,69.58632813,0,3,0,50,57.14285714,,,
3,54, KNN, KNN,298.3956437,84.62226429,220.4683556,75.58681641,4,2,2,49.29577465,56.33802817,,,
3,55, KNN, KNN,173.772924,48.09282307,211.6346203,55.54295654,0,0,0,50,56.94444444,,,
3,56, KNN, SVR,697.4411709,107.0588369,608.834077,108.6663167,5,0,0,49.31506849,57.53424658,,,
3,57, NN, SVR,123.5295061,23.25837382,120.6930162,23.81871338,2,0,0,48.64864865,58.10810811,,,
3,58, NN, SVR,37.30125517,9.616910566,38.04718664,10.43789266,0,0,0,49.33333333,58.66666667,,,
3,59, KNN, KNN,25.67156887,4.477266512,27.36681527,5.055919902,0,0,0,50,59.21052632,,,
3,60, SVR, SVR,0.155551878,0.155521382,3.98909022,1.096715037,0,0,0,50.64935065,59.74025974,,,
3,61, RF, RF,0.002220511,0.000286667,7.396711729,2.205456797,0,0,0,51.28205128,60.25641026,,,
4,25, POLY, RF,0.219471109,0.028378334,115.6487588,34.05161336,0,0,0,51.89873418,60.75949367,,,
4,26, LR, RF,71.67522693,13.4121652,220.3164485,75.91436361,0,0,0,52.5,61.25,,,
4,27, KNN, KNN,153.9130467,53.35798404,262.0816953,120.945931,0,0,0,53.08641975,61.72839506,,,
4,28, LR, LR,456.2437043,212.5864955,361.601922,241.7127604,2,0,0,52.43902439,62.19512195,,,
4,29, LR, LR,902.8519155,420.7722624,1009.455827,453.9488281,0,0,0,53.01204819,62.65060241,,,
4,30, RF, SVR,1075.244132,362.2670966,830.9835137,362.3791341,5,0,0,52.38095238,63.0952381,,,
4,31, KNN, SVR,329.5574382,129.3512615,311.0672114,163.424056,1,0,0,51.76470588,63.52941176,,,
4,32, NN, SVR,100.5842757,27.04842594,284.2635074,114.8805176,0,0,0,52.3255814,63.95348837,,,
4,33, KNN, KNN,155.8014186,46.59660456,301.7083995,114.8246094,0,0,0,52.87356322,64.36781609,,,
4,34, KNN, KNN,335.4905147,98.07618301,333.8666051,98.98591309,1,0,0,52.27272727,64.77272727,,,
4,35, KNN, KNN,557.4588387,139.9934548,369.3962777,136.4872721,2,1,0,51.68539326,64.04494382,,,
4,36, KNN, RF,1312.296409,226.977521,448.6587233,83.36805013,10,3,3,51.11111111,63.33333333,,,
4,37, KNN, SVR,772.7048101,114.5168315,207.6869941,93.90916341,12,3,3,50.54945055,62.63736264,,,
