Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
25, 23, LR, LR, 234.30491408106582, 98.9722737189384, 626.3024051548124, 264.35915305397725, 0, 0, 0, 100.0, 93.33333333333333
25, 24, LR, LR, 334.13932464491734, 152.98293487757655, 406.07211098773314, 174.4111083984375, 0, 0, 0, 100.0, 93.75
25, 25, LR, LR, 211.8955768947936, 94.86889790032207, 516.9192035153685, 195.33887453007517, 0, 0, 0, 100.0, 94.11764705882352
25, 26, LR, LR, 317.63407925201074, 142.13900296014435, 442.1736301847604, 150.68468691697763, 0, 0, 0, 100.0, 94.44444444444444
25, 27, LR, LR, 326.2809259184959, 168.65422371093203, 705.9938415792493, 243.56932848282443, 0, 0, 0, 100.0, 94.73684210526315
25, 28, LR, LR, 592.2078980985268, 234.54515485617068, 1012.4606104954789, 324.1614583333333, 0, 0, 0, 100.0, 95.0
25, 29, LR, LR, 438.1239777902211, 204.63025355266578, 1129.5129424577158, 351.02711004273505, 0, 0, 0, 100.0, 95.23809523809523
26, 23, LR, LR, 250.58029719896382, 105.38781648335657, 527.0453199021591, 215.54283088235292, 0, 0, 0, 100.0, 95.45454545454545
26, 24, LR, LR, 286.8091891207235, 127.18516390788076, 433.3535083022806, 179.91139532930111, 0, 0, 0, 100.0, 95.65217391304348
26, 25, LR, LR, 586.5110765227606, 263.11227638641344, 663.3172946134703, 249.6305017605634, 0, 1, 0, 100.0, 91.66666666666666
26, 26, LR, LR, 235.1738357869529, 124.84432029659163, 349.6288630538702, 128.88426414695942, 0, 0, 0, 100.0, 92.0
26, 27, LR, LR, 255.50664757157094, 105.26632366906803, 704.4013628606917, 218.7592303240741, 0, 0, 0, 100.0, 92.3076923076923
26, 28, LR, LR, 276.9658961814618, 166.1092333899632, 912.3160443102392, 256.55611096398303, 0, 0, 0, 100.0, 92.5925925925926
26, 29, LR, LR, 855.0869249608935, 384.4294959083893, 1218.8098238308826, 351.34312220982144, 0, 1, 0, 100.0, 89.28571428571429
27, 23, LR, LR, 325.6308414216066, 93.04119069596912, 676.6797200140263, 245.7472001445087, 0, 0, 0, 100.0, 89.65517241379311
27, 24, LR, LR, 290.2867363122003, 136.5452430302442, 490.9562587440962, 200.162939745509, 0, 0, 0, 100.0, 90.0
27, 25, LR, LR, 558.6666797208596, 182.25265724333312, 963.826698510632, 307.07603236607144, 0, 0, 0, 100.0, 90.32258064516128
