Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
1,47, LR, LR,0,0,18.92589372,1.503259512,0,0,0,89.36170213,87.23404255,18.92589372,1.503259512,,,,,,,,,,,
1,48, LR, LR,0.047656398,0.011398383,21.17321013,4.967656817,0,0,0,89.58333333,87.5,21.12555373,4.956258434,,,,,,,,,,,
1,49, LR, LR,15.79332764,8.21762936,91.48903851,15.7456429,0,0,0,89.79591837,87.75510204,75.69571086,7.528013544,,,,,,,,,,,
1,50, LR, LR,93.332875,35.80753853,341.0031799,58.6499847,0,0,0,90,88,247.6703049,22.84244617,,,,,,,,,,,
1,51, LR, LR,640.4125755,604.5073452,792.28775,255.4287704,0,24,0,90.19607843,86.2745098,151.8751745,-349.0785748,,,,,,,,,,,
1,52, LR, LR,632.0174241,166.7632793,594.5638177,201.7532118,1,0,0,88.46153846,86.53846154,-37.45360638,34.98993252,,,,,,,,,,,
1,53, LR, LR,937.1557794,293.4340935,644.6723233,190.8013362,7,9,5,86.79245283,84.90566038,-292.4834562,-102.6327572,,,,,,,,,,,
1,54, LR, LR,1425.02238,305.2640289,863.2042581,270.3977764,20,3,3,85.18518519,83.33333333,-561.8181222,-34.86625245,,,,,,,,,,,
1,55, LR, LR,955.410177,408.7173181,1707.991319,517.2305871,0,0,0,85.45454545,83.63636364,752.5811423,108.513269,,,,,,,,,,,
1,56, LR, LR,1491.995891,378.9509728,1653.165405,433.4410511,0,0,0,85.71428571,83.92857143,161.1695142,54.49007832,,,,,,,,,,,
1,57, LR, LR,786.4049364,224.2931139,800.9557556,265.3454241,0,0,0,85.96491228,84.21052632,14.55081924,41.05231023,,,,,,,,,,,
1,58, LR, LR,213.5957485,65.65703055,488.7191693,141.7605411,0,0,0,86.20689655,84.48275862,275.1234209,76.10351058,,,,,,,,,,,
1,59, LR, LR,148.6321165,56.94597029,433.6513974,99.04402108,0,0,0,86.44067797,84.74576271,285.0192809,42.09805079,,,,,,,,,,,
1,60, LR, LR,40.45161929,14.48475489,661.6623193,166.9231018,0,0,0,86.66666667,85,621.2107,152.4383469,,,,,,,,,,,
1,61, LR, LR,0,0,944.0239216,193.8326823,0,0,0,86.8852459,85.24590164,944.0239216,193.8326823,,,,,,,,,,,
1,62, LR, LR,0,0,657.0135463,142.7311244,0,0,0,87.09677419,85.48387097,657.0135463,142.7311244,,,,,,,,,,,
1,63, LR, LR,0,0,961.3690238,179.970326,0,0,0,87.3015873,85.71428571,961.3690238,179.970326,,,,,,,,,,,
1,64, LR, LR,0,0,595.0976101,145.1991132,0,0,0,87.5,85.9375,595.0976101,145.1991132,,,,,,,,,,,
1,65, LR, LR,0,0,522.8382417,88.82897949,0,0,0,87.69230769,86.15384615,522.8382417,88.82897949,,,,,,,,,,,
2,1, LR, LR,0,0,6.35786047,1.769947881,0,0,0,87.87878788,86.36363636,6.35786047,1.769947881,,,,,,,,,,,
2,2, LR, LR,0,0,3.592119389,1.807818778,0,0,0,88.05970149,86.56716418,3.592119389,1.807818778,,,,,,,,,,,
2,3, LR, LR,0,0,3.283850267,1.612303714,0,0,0,88.23529412,86.76470588,3.283850267,1.612303714,,,,,,,,,,,
2,4, LR, LR,0,0,2.768314466,1.487121087,0,0,0,88.4057971,86.95652174,2.768314466,1.487121087,,,,,,,,,,,
2,5, LR, LR,0,0,2.630063203,1.06533657,0,0,0,88.57142857,87.14285714,2.630063203,1.06533657,,,,,,,,,,,
2,6, LR, LR,0,0,2.194666359,1.182165146,0,0,0,88.73239437,87.32394366,2.194666359,1.182165146,,,,,,,,,,,
2,7, LR, LR,0,0,1.975924406,0.815866986,0,0,0,88.88888889,87.5,1.975924406,0.815866986,,,,,,,,,,,
2,8, LR, LR,0,0,1.972089845,0.603012565,0,0,0,89.04109589,87.67123288,1.972089845,0.603012565,,,,,,,,,,,
2,9, LR, LR,0,0,1.002769488,0.269590103,0,0,0,89.18918919,87.83783784,1.002769488,0.269590103,,,,,,,,,,,
2,10, LR, LR,0,0,1.010712099,0.180936477,0,0,0,89.33333333,88,1.010712099,0.180936477,,,,,,,,,,,
2,11, LR, LR,0,0,0.615994819,0.15675075,0,0,0,89.47368421,88.15789474,0.615994819,0.15675075,,,,,,,,,,,
2,12, LR, LR,0,0,1.006124241,0.08947567,0,0,0,89.61038961,88.31168831,1.006124241,0.08947567,,,,,,,,,,,
2,13, LR, LR,0,0,1.317956954,0.032467646,0,0,0,89.74358974,88.46153846,1.317956954,0.032467646,,,,,,,,,,,
2,14, LR, LR,0,0,1.965792571,0.259901841,0,0,0,89.87341772,88.60759494,1.965792571,0.259901841,,,,,,,,,,,
2,15, LR, LR,0,0,12.0105829,3.170559872,0,0,0,90,88.75,12.0105829,3.170559872,,,,,,,,,,,
2,16, LR, LR,0,0,7.039377055,0.102310345,0,0,0,90.12345679,88.88888889,7.039377055,0.102310345,,,,,,,,,,,
2,17, LR, LR,0,0,2.442448684,0.434894991,0,0,0,90.24390244,89.02439024,2.442448684,0.434894991,,,,,,,,,,,
2,18, LR, LR,0,0,4.6483582,1.190086867,0,0,0,90.36144578,89.15662651,4.6483582,1.190086867,,,,,,,,,,,
2,19, LR, LR,0,0,13.55218399,3.788044521,0,0,0,90.47619048,89.28571429,13.55218399,3.788044521,,,,,,,,,,,
2,20, LR, LR,0,0,88.91616534,31.79769234,0,0,0,90.58823529,89.41176471,88.91616534,31.79769234,,,,,,,,,,,
2,21, LR, LR,0,0,459.7946246,146.3972168,0,0,0,90.69767442,89.53488372,459.7946246,146.3972168,,,,,,,,,,,
2,22, LR, LR,0,0,332.4406893,84.07425743,0,0,0,90.8045977,89.65517241,332.4406893,84.07425743,,,,,,,,,,,
2,23, LR, LR,0,0,245.1372065,79.58503328,0,0,0,90.90909091,89.77272727,245.1372065,79.58503328,,,,,,,,,,,
2,24, LR, LR,0,0,402.7213677,128.7800119,0,0,0,91.01123596,89.88764045,402.7213677,128.7800119,,,,,,,,,,,
2,25, LR, LR,0,0,312.7711435,101.7343635,0,0,0,91.11111111,90,312.7711435,101.7343635,,,,,,,,,,,
2,26, LR, LR,0,0,390.2605764,137.7599981,0,0,0,91.20879121,90.10989011,390.2605764,137.7599981,,,,,,,,,,,
2,27, LR, LR,15.98561428,5.006272197,469.9149378,177.2278735,0,0,0,91.30434783,90.2173913,453.9293235,172.2216013,,,,,,,,,,,
2,28, LR, LR,243.3164534,125.6288646,844.8840933,361.7117492,0,0,0,91.39784946,90.32258065,601.5676399,236.0828846,,,,,,,,,,,
2,29, LR, LR,520.6877461,241.549959,1097.876596,527.3385268,0,0,0,91.4893617,90.42553191,577.1888497,285.7885678,,,,,,,,,,,
2,30, LR, LR,1393.139804,645.5672123,1592.275615,662.8966828,0,0,0,91.57894737,90.52631579,199.1358102,17.32947055,,,,,,,,,,,
2,31, LR, LR,707.9162418,351.845606,832.1523221,304.646119,0,4,0,91.66666667,89.58333333,124.2360803,-47.199487,,,,,,,,,,,
2,32, LR, LR,534.6853711,218.567977,788.516751,217.2081163,0,1,0,91.75257732,88.65979381,253.83138,-1.359860633,,,,,,,,,,,
2,33, LR, LR,906.7151006,279.5387605,1044.727273,218.2565932,0,10,0,91.83673469,87.75510204,138.0121725,-61.28216728,,,,,,,,,,,
2,34, LR, LR,110.6654125,77.59499851,782.4642225,204.860687,0,0,0,91.91919192,87.87878788,671.79881,127.2656885,,,,,,,,,,,
2,35, LR, LR,349.5767551,157.9419792,1222.682297,228.9305836,0,0,0,92,88,873.1055421,70.98860445,,,,,,,,,,,
2,36, LR, LR,265.4922964,87.0426387,301.5402703,80.40136719,0,2,0,92.07920792,87.12871287,36.04797384,-6.641271513,,,,,,,,,,,
