Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
2, 10, LR, LR, 0.0, 0.0, 0.3199514695958202, 0.1029800017674764, 0, 0, 0, 80.0, 77.33333333333333
2, 11, LR, LR, 0.0, 0.0, 0.03394725240908289, 0.010610000292460123, 0, 0, 0, 80.26315789473685, 77.63157894736842
2, 12, LR, LR, 0.0, 0.0, 0.1176956012332758, 0.018938336769739786, 0, 0, 0, 80.51948051948052, 77.92207792207793
2, 13, LR, LR, 0.0, 0.0, 1.0061868967682035, 0.2244283517201741, 0, 0, 0, 80.76923076923077, 78.2051282051282
2, 14, LR, LR, 0.0, 0.0, 0.5509932883165984, 0.1092466672261556, 0, 0, 0, 81.0126582278481, 78.48101265822784
2, 15, LR, LR, 0.0, 0.0, 7.4895277365229, 1.17884152730306, 0, 0, 0, 81.25, 78.75
2, 16, LR, LR, 0.0, 0.0, 0.034986990983187534, 0.009415000677108765, 0, 0, 0, 81.48148148148148, 79.01234567901234
2, 17, LR, LR, 0.0, 0.0, 0.15674693241190202, 0.022908333937327063, 0, 0, 0, 81.70731707317073, 79.26829268292683
2, 18, LR, LR, 0.0, 0.0, 3.6394375634148175, 0.7456832885742187, 0, 0, 0, 81.92771084337349, 79.51807228915662
2, 19, LR, LR, 0.0, 0.0, 13.080078134721393, 3.52426020304362, 0, 0, 0, 82.14285714285714, 79.76190476190477
2, 20, LR, LR, 0.0, 0.0, 59.30956262484154, 21.457950846354166, 0, 0, 0, 82.35294117647058, 80.0
2, 21, LR, LR, 0.0, 0.0, 354.55158298899187, 88.69351399739584, 0, 0, 0, 82.55813953488372, 80.23255813953489
2, 22, LR, LR, 0.0, 0.0, 85.79935108049091, 31.85398356119792, 0, 0, 0, 82.75862068965517, 80.45977011494253
2, 23, LR, LR, 0.0, 0.0, 91.73757579367356, 30.48969930013021, 0, 0, 0, 82.95454545454545, 80.68181818181817
2, 24, LR, LR, 0.0, 0.0, 66.76820132618022, 27.24296061197917, 0, 0, 0, 83.14606741573034, 80.89887640449437
2, 25, LR, LR, 0.0, 0.0, 116.52811713630892, 40.79624430338541, 0, 0, 0, 83.33333333333334, 81.11111111111111
2, 26, LR, LR, 0.0, 0.0, 172.40856876423905, 70.13427734375, 0, 0, 0, 83.51648351648352, 81.31868131868131
2, 27, LR, LR, 11.665428913642797, 2.292210002342861, 311.684549397838, 128.02081705729168, 0, 0, 0, 83.69565217391305, 81.52173913043478
2, 28, LR, LR, 309.4605015546103, 114.52405834963277, 655.4022174715817, 276.7841796875, 0, 0, 0, 83.87096774193549, 81.72043010752688
2, 29, LR, LR, 716.507029480085, 451.3654946690052, 622.3659427271599, 340.84208984375, 1, 8, 1, 82.97872340425532, 80.85106382978722
2, 30, LR, LR, 1258.8540194127067, 698.7853760459024, 1465.033696995852, 685.8565104166668, 0, 2, 0, 83.15789473684211, 80.0
2, 31, LR, LR, 657.02696511699, 357.4945308571558, 549.4738695637249, 251.47537434895835, 6, 10, 5, 82.29166666666666, 79.16666666666666
2, 32, LR, LR, 1216.3861073739438, 386.2004159286087, 648.8368053678828, 199.72019856770837, 16, 18, 15, 81.44329896907216, 78.35051546391753
2, 33, LR, LR, 1129.1962167592956, 322.87854863515906, 884.7404515826472, 175.62884114583332, 7, 18, 6, 80.61224489795919, 77.55102040816327
2, 34, LR, LR, 788.2033514696075, 321.1847833093008, 693.8538991267062, 146.378515625, 10, 22, 10, 79.7979797979798, 76.76767676767676
2, 35, LR, LR, 758.0747219009936, 332.97687753149427, 585.2982715391073, 121.52724609375, 10, 22, 9, 79.0, 76.0
2, 36, LR, LR, 312.63320436742737, 110.100250256168, 228.3149232237496, 46.446875, 13, 17, 12, 78.21782178217822, 75.24752475247524
2, 37, LR, LR, 47.14352213398521, 46.00894108573595, 21.42094842087997, 6.573719787597656, 8, 18, 8, 77.45098039215686, 74.50980392156863
2, 38, LR, LR, 39.85663326947631, 39.827275321446315, 14.583526040393432, 3.640156555175781, 7, 19, 7, 76.69902912621359, 73.7864077669903
2, 39, LR, LR, 0.28077382825654706, 0.27791506863775717, 5.4999839088898135, 1.1922748565673829, 0, 0, 0, 76.92307692307693, 74.03846153846155
2, 40, LR, LR, 0.0, 0.0, 3.6869810612075455, 1.0593449910481771, 0, 0, 0, 77.14285714285715, 74.28571428571429
2, 41, LR, LR, 0.0, 0.0, 11.381666573238515, 2.313563283284505, 0, 0, 0, 77.35849056603774, 74.52830188679245
2, 42, LR, LR, 0.0, 0.0, 12.871647647097928, 3.217638397216797, 0, 0, 0, 77.57009345794393, 74.76635514018692
2, 43, LR, LR, 0.0, 0.0, 6.676274712964465, 2.058131535847982, 0, 0, 0, 77.77777777777779, 75.0
2, 44, LR, LR, 0.0, 0.0, 9.118050828519127, 2.440113067626953, 0, 0, 0, 77.98165137614679, 75.22935779816514
2, 45, LR, LR, 0.0, 0.0, 11.02183335688192, 3.2075833638509117, 0, 0, 0, 78.18181818181819, 75.45454545454545
2, 46, LR, LR, 0.0, 0.0, 15.345942965317954, 3.47840321858724, 0, 0, 0, 78.37837837837837, 75.67567567567568
2, 47, LR, LR, 0.0, 0.0, 49.48145959599413, 9.464402262369793, 0, 0, 0, 78.57142857142857, 75.89285714285714
2, 48, LR, LR, 1.4035571978161379, 1.403557197816138, 35.7850425573777, 9.324131266276042, 0, 0, 0, 78.76106194690266, 76.10619469026548
2, 49, LR, LR, 14.546753052302764, 14.546753052302762, 224.15105397923068, 75.576416015625, 0, 0, 0, 78.94736842105263, 76.31578947368422
2, 50, LR, LR, 51.9842105745172, 51.704874811172466, 116.27390435232375, 36.4697998046875, 0, 1, 0, 79.13043478260869, 75.65217391304347
2, 51, LR, LR, 185.2600730293337, 108.98594980958677, 185.48462986637642, 46.16116536458333, 0, 9, 0, 79.3103448275862, 75.0
2, 52, LR, LR, 418.305668598902, 214.95835979229648, 177.94870047291718, 80.439697265625, 15, 22, 14, 78.63247863247864, 74.35897435897436
2, 53, LR, LR, 249.39686186809695, 246.65367364598168, 28.705483197901412, 12.049136352539062, 15, 22, 14, 77.96610169491525, 73.72881355932203
2, 54, LR, LR, 341.24691664641097, 278.7397090618561, 189.8972309785831, 61.89961344401042, 5, 13, 5, 77.31092436974791, 73.10924369747899
2, 55, LR, LR, 571.7169195195752, 312.68869467985064, 503.486742625861, 183.31183268229168, 1, 10, 1, 76.66666666666667, 72.5
2, 56, LR, LR, 1283.299199115909, 451.99073879793735, 682.9077536534493, 224.44951171875, 10, 18, 10, 76.03305785123968, 71.900826446281
2, 57, LR, LR, 841.4829986641062, 303.3857233772232, 631.8196208834712, 169.06494140625, 8, 13, 7, 75.40983606557377, 71.31147540983606
2, 58, LR, LR, 520.8526278021847, 211.38577398799714, 435.41721371576483, 118.51974283854166, 10, 15, 9, 74.79674796747967, 70.73170731707317
2, 59, LR, LR, 59.499574659918444, 53.43291759842917, 41.17112408391752, 11.827061971028645, 7, 11, 6, 74.19354838709677, 70.16129032258065
2, 60, LR, LR, 5.62716821974621, 5.584562164403142, 8.887787882116674, 2.1116883595784506, 0, 3, 0, 74.4, 69.6
2, 61, LR, LR, 0.0, 0.0, 11.289595395438594, 3.56600850423177, 0, 0, 0, 74.60317460317461, 69.84126984126983
2, 62, LR, LR, 0.0, 0.0, 27.304000870598923, 9.97420145670573, 0, 0, 0, 74.80314960629921, 70.07874015748031
2, 63, LR, LR, 0.0, 0.0, 68.18451146827017, 19.832401529947923, 0, 0, 0, 75.0, 70.3125
2, 64, LR, LR, 0.0, 0.0, 27.55810858818749, 11.194168090820312, 0, 0, 0, 75.1937984496124, 70.54263565891473
2, 65, LR, LR, 0.0, 0.0, 33.936444888447966, 11.410354614257812, 0, 0, 0, 75.38461538461539, 70.76923076923077
3, 1, LR, LR, 0.0, 0.0, 3.398693716395254, 1.3545182545979817, 0, 0, 0, 75.57251908396947, 70.99236641221374
3, 2, LR, LR, 0.0, 0.0, 11.259860045408535, 4.425858561197916, 0, 0, 0, 75.75757575757575, 71.21212121212122
3, 3, LR, LR, 0.0, 0.0, 3.972766995957184, 1.9368665059407555, 0, 0, 0, 75.93984962406014, 71.42857142857143
3, 4, LR, LR, 0.0, 0.0, 4.099673548161779, 2.047824986775716, 0, 0, 0, 76.11940298507463, 71.64179104477611
3, 5, LR, LR, 0.0, 0.0, 2.4373380688733284, 1.4591934204101562, 0, 0, 0, 76.29629629629629, 71.85185185185186
3, 6, LR, LR, 0.0, 0.0, 2.4326660216687723, 0.9258383433024088, 0, 0, 0, 76.47058823529412, 72.05882352941177
3, 7, LR, LR, 0.0, 0.0, 2.4671738111822066, 1.3348335266113278, 0, 0, 0, 76.64233576642336, 72.26277372262774
3, 8, LR, LR, 0.0, 0.0, 2.031230280853804, 0.9961500803629556, 0, 0, 0, 76.81159420289855, 72.46376811594203
3, 9, LR, LR, 0.0, 0.0, 0.8875446791886887, 0.32298332850138345, 0, 0, 0, 76.97841726618705, 72.66187050359713
3, 10, LR, LR, 0.0, 0.0, 0.16967288076653786, 0.054515000184377035, 0, 0, 0, 77.14285714285715, 72.85714285714285
