Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1, 59, LR, SVR, 239.522886657835, 38.606780472059036, 1429.6495972840662, 322.5900985054348, 100.0, 100.0
1, 60, LR, SVR, 35.075342868001734, 6.360560846534403, 1460.3812511126669, 347.5911276223776, 100.0, 100.0
1, 61, LR, LR, 0.0, 0.0, 1016.7455227659063, 232.24727822580644, 100.0, 100.0
1, 62, LR, LR, 0.0, 0.0, 1541.7288318150092, 244.1955678104575, 100.0, 100.0
1, 63, LR, LR, 0.0, 0.0, 1402.0988147843766, 207.5192901234568, 100.0, 100.0
1, 64, LR, LR, 0.0, 0.0, 1422.1108237294848, 213.9592669025157, 100.0, 100.0
1, 65, LR, LR, 0.0, 0.0, 1500.3153542379557, 276.8140572212838, 100.0, 100.0
2, 1, LR, LR, 0.0, 0.0, 13.883960304437892, 3.2775243273853554, 100.0, 100.0
2, 2, LR, LR, 0.0, 0.0, 16.682631192438052, 3.0118198838344834, 100.0, 100.0
2, 3, LR, LR, 0.0, 0.0, 12.034381066166448, 3.4839900666219323, 100.0, 100.0
2, 4, LR, LR, 0.0, 0.0, 7.236006497997532, 2.3922906875610352, 100.0, 100.0
2, 5, LR, LR, 0.0, 0.0, 3.354328606650253, 1.0653365697616186, 100.0, 100.0
2, 6, LR, LR, 0.0, 0.0, 4.7627873211394025, 1.5446487985006192, 100.0, 100.0
2, 7, LR, LR, 0.0, 0.0, 2.7942168321513856, 0.9961036123880526, 100.0, 100.0
2, 8, LR, LR, 0.0, 0.0, 2.272037291935628, 0.7335138320922852, 100.0, 100.0
2, 9, LR, LR, 0.0, 0.0, 1.0027694884113745, 0.3450333566376657, 100.0, 100.0
2, 10, LR, LR, 0.0, 0.0, 2.62706351670226, 0.2185521747754968, 100.0, 100.0
2, 11, LR, LR, 0.0, 0.0, 25.55971679090961, 0.2779657546788046, 100.0, 100.0
2, 12, LR, LR, 0.0, 0.0, 5.962819385000367, 0.1305446539606367, 100.0, 100.0
2, 13, LR, LR, 0.0, 0.0, 13.750477050043518, 1.9238603699882075, 100.0, 100.0
2, 14, LR, LR, 0.0, 0.0, 24.107234020027146, 0.2857854167620341, 100.0, 100.0
