Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1, 10, LR, LR, 0.0, 0.0, 1.1751451021618808, 0.14295815448371732, 0, 0, 0, 100.0, 100.0
1, 11, LR, LR, 0.0, 0.0, 1.160540411141386, 0.07418947052537349, 0, 0, 0, 100.0, 100.0
1, 12, LR, LR, 0.0, 0.0, 0.6871119924679585, 0.11977803997877168, 0, 0, 0, 100.0, 100.0
1, 13, LR, LR, 0.0, 0.0, 2.3846715888722607, 0.0020317458917224213, 0, 0, 0, 100.0, 100.0
1, 14, LR, LR, 0.0, 0.0, 0.6161837445474587, 0.020017072921845968, 0, 0, 0, 100.0, 100.0
1, 15, LR, LR, 0.0, 0.0, 2.8155995410968253, 0.7819988674587673, 0, 0, 0, 100.0, 100.0
1, 16, LR, LR, 0.0, 0.0, 2.4725608717562304, 0.062105549706353076, 0, 0, 0, 100.0, 100.0
1, 17, LR, LR, 0.0, 0.0, 6.701928522260766, 1.4701770983244244, 0, 0, 0, 100.0, 100.0
1, 18, LR, LR, 0.0, 0.0, 11.359487720401251, 3.3009854580493685, 0, 0, 0, 100.0, 100.0
1, 19, LR, LR, 0.0, 0.0, 18.93731365232348, 4.85015869140625, 0, 0, 0, 100.0, 100.0
1, 20, LR, LR, 0.0, 0.0, 28.92944584691874, 7.4144111152167795, 0, 0, 0, 100.0, 100.0
1, 21, LR, LR, 0.0, 0.0, 257.9517963723081, 81.42424495045732, 0, 0, 0, 100.0, 100.0
1, 22, LR, LR, 0.0, 0.0, 295.2370015712363, 85.31470070422536, 0, 0, 0, 100.0, 100.0
1, 23, LR, LR, 0.0, 0.0, 284.6351355285543, 80.90449119100765, 0, 0, 0, 100.0, 100.0
1, 24, LR, LR, 0.0, 0.0, 467.0691500292981, 132.0700843311916, 0, 0, 0, 100.0, 100.0
1, 25, LR, LR, 0.0, 0.0, 374.18073327450486, 103.671421875, 0, 0, 0, 100.0, 100.0
1, 26, LR, LR, 0.0, 0.0, 429.7693085093274, 147.4337810359589, 0, 0, 0, 100.0, 100.0
1, 27, LR, LR, 32.46834892877533, 7.73065357018838, 919.6139076430037, 277.62533833661416, 0, 0, 0, 100.0, 100.0
1, 28, LR, LR, 11148640.583409669, 6991149.146389592, 1794.8635259882788, 503.13876488095235, 24, 24, 24, 96.42857142857143, 96.42857142857143
1, 29, LR, LR, 787.7331500820695, 732.867819278517, 1696.4081696237204, 471.087194683908, 0, 17, 0, 96.55172413793103, 93.10344827586206
1, 30, LR, LR, 1742.175997710245, 778.3914543778676, 2463.3030891652193, 748.0905202513968, 0, 1, 0, 96.66666666666667, 90.0
1, 31, LR, LR, 19016.851815164016, 5167.127679685193, 1446.3464189592905, 480.1839080459769, 24, 24, 24, 93.54838709677419, 87.09677419354838
1, 32, LR, LR, 32423.709646602307, 9924.181520021584, 1234.211684336129, 295.16558636675825, 24, 24, 24, 90.625, 84.375
1, 33, LR, LR, 27312.958992271422, 6552.171517048686, 948.8332620327901, 242.50619612068962, 24, 24, 24, 87.87878787878788, 81.81818181818183
1, 34, LR, LR, 5239.5708873315525, 1229.4159328307558, 801.8065235138869, 216.7912980045181, 24, 24, 24, 85.29411764705883, 79.41176470588235
1, 35, LR, LR, 7601.934489466971, 1678.908830694641, 837.4635289928525, 218.59618263473044, 24, 24, 24, 82.85714285714286, 77.14285714285715
1, 36, LR, LR, 635.2267634120482, 123.39752858659672, 455.1309915971392, 103.56465604707792, 17, 5, 5, 80.55555555555556, 75.0
