Y, X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,OLD BEST,MODEL, New Model Best MAE Value,PolyR,WA,NEW BEST,,DIFF,,,,,,
1,1,82.87340495,81.8824707,79.54193522,76.5387207,81.91878255,84.46522624,7.562551371,1.66E+36,0.812711652,4.727909851,1.66E+36,0.99365991,4.295803324,4.317023214,2.340151469,6.835519409,2.135348511,3.115735118,5.462901815,1.504616547,4.302498881,5.202900187,2.376876577,4.047981517,0.812711652,9,0,0,4.424248759,0,,0.812711652,,GT ZERO,1715,,,
1,2,82.51203613,82.49736328,80.41336263,65.57050374,90.42347819,84.93949382,5.779298401,1.66E+36,0.941998291,4.179696655,1.66E+36,1.393310038,3.163962046,5.711208089,2.188818359,6.992689514,2.067348353,2.272366842,5.535723368,1.741809972,3.003538259,3.724828339,2.519299825,3.988035075,0.941998291,9,0,0,4.323716227,0,,0.941998291,,max,-304.2825114,,,
1,3,77.41720378,95.67747396,80.91519368,81.99049479,91.45174967,82.40992025,3.778341675,1.66E+36,0.847376569,3.455488332,1.66E+36,1.982184982,2.787563324,4.414493306,1.851741791,6.43329366,1.564703242,1.941371409,4.555160522,1.623981603,4.983281453,3.462255096,2.467223358,3.032864889,0.847376569,9,0,0,4.232350922,0,,0.847376569,,,,,,
1,4,78.84838867,82.3103597,84.87133789,85.10561523,81.76311849,78.28158366,2.623493195,1.66E+36,0.794915009,2.763561503,1.66E+36,1.891213353,4.443315125,5.50078125,2.279935201,6.724020386,1.605671692,1.943096797,5.953464762,1.477998352,3.079031626,4.794790141,2.630016581,3.636608124,0.794915009,9,0,0,4.121724701,0,,0.794915009,,,,,,
1,5,73.77508138,82.25478516,83.43563639,67.89431966,83.57106934,78.63911133,2.981599935,1.66E+36,1.24805158,2.096581777,1.66E+36,1.899408468,4.213124847,4.051836141,2.431080119,4.807791646,1.742399851,1.369449997,4.231342061,0.974881681,2.451636505,4.762427775,2.050673167,2.707081858,0.974881681,20,0,0,3.732469177,0,,0.974881681,,,,,,
1,6,91.14388021,99.79039714,96.50603027,98.603361,117.3221029,85.51730143,2.888111623,1.66E+36,1.206623332,1.377906545,1.66E+36,1.92138176,3.987721761,5.89450175,1.877011744,4.775941976,1.915975062,1.229303233,5.421281942,1.313813273,2.876475016,4.333267721,2.974786631,1.805261739,1.206623332,9,0,0,3.910639445,0,,1.206623332,,,,,,
1,7,113.4923828,103.5875488,103.6537191,100.2491292,111.9218587,102.1655762,2.159161631,1.66E+36,1.546531423,1.975066884,1.66E+36,1.284106572,4.858788554,5.482184855,1.477110036,5.95426178,3.105376943,1.562325033,5.335209656,1.987894948,2.522365316,5.002715047,2.439479574,2.171836853,1.284106572,12,0,0,4.329641215,0,,1.284106572,,,,,,
1,8,76.48304036,64.70870768,72.89683431,56.2100708,67.77695719,57.47950033,0.670101611,1.66E+36,0.961521594,0.522290007,1.66E+36,0.959960047,1.465603256,1.673789978,0.531363328,3.094566854,0.960796674,0.472373358,3.100294749,0.911338298,0.836200015,1.920718511,0.749086698,0.975164986,0.472373358,18,0,0,2.18375502,0,,0.472373358,,,,,,
1,9,48.36162109,50.37495117,52.88429769,38.83078613,55.88125814,42.71562907,0.031998332,1.66E+36,0.75093174,0.134488344,1.66E+36,0.923245049,0.153714991,1.299533463,0.262439982,0.972026634,0.485315037,0.109486659,1.288690058,0.225131687,0.78004837,0.28661499,0.458573373,0.555084991,0.031998332,7,0,0,1.347871881,0,,0.031998332,,,,118.3098583,-,111.6132345
1,10,41.42677002,35.20997314,39.26123454,32.88754679,48.8085734,35.22851969,3.198524984,1.66E+36,0.691996574,2.860146586,1.66E+36,0.712311681,0.143578339,0.934708277,0.800709915,0.606713359,0.185681677,1.271499888,0.646651586,0.090478341,0.173943329,0.14869167,0.27241834,0.617511559,0.090478341,20,0,0,1.37771071,0,,0.090478341,,,,,,
1,11,36.13699951,24.70878906,27.89651896,28.60588989,33.11597087,30.84465942,6.343185933,1.66E+36,0.92572333,15.72458191,1.66E+36,0.589624977,0.190831661,0.820146624,1.569426473,0.997345034,0.486451658,11.37481181,1.659526698,0.334784985,0.127978325,0.154164998,0.285160033,1.41186676,0.127978325,21,0,0,2.708526611,0,,0.127978325,,,,,,
1,12,27.34135946,24.5205953,28.06715088,21.71062215,26.74278768,22.90536296,4.001873271,1.66E+36,5.804135132,11.65114339,1.66E+36,0.630300013,0.118134999,0.743301709,3.240721639,5.433192952,4.411231486,21.19736328,4.526272074,1.366318385,0.089649995,0.119180004,0.641499964,3.114761861,0.089649995,21,0,0,4.998634338,0,,0.089649995,,,,,,
1,13,27.35553792,20.54785563,20.29806925,18.30913696,25.13340047,18.66811117,1.142336655,1.66E+36,2.647318522,8.310113017,1.66E+36,0.688213285,0.019568334,1.214726639,3.13851827,3.064953359,2.006915029,6.079964701,7.151444499,2.732516479,0.295296669,0.030036668,0.768538284,2.849713389,0.019568334,13,0,0,3.748509508,0,,0.019568334,,,,,,
1,14,17.53985799,12.8584137,16.86656494,15.94188538,17.3870341,13.49788106,2.002136612,1.66E+36,2.336134847,1.904318492,1.66E+36,0.453986645,1.179103343,4.14655304,3.561061605,0.06375167,1.033138339,0.850080045,1.866943359,1.340413284,0.037081667,0.954519908,1.996325175,3.557031504,0.037081667,21,0,0,2.702251434,0,,0.037081667,,,,,,
1,15,19.02849935,18.51225179,17.54908854,14.29756266,19.00287882,16.92856547,1.259871801,1.66E+36,1.044728343,0.916349983,1.66E+36,0.336171691,2.859503174,1.570366669,0.958229955,0.16550835,0.937626712,0.662399928,2.113641612,0.745958328,0.223258352,1.660788218,0.548393377,1.199489975,0.16550835,16,0,0,2.093749063,0,,0.16550835,,positive,35.58484561,,,
