Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
23, 3, LR, LR, 1768.4192175119267, 267.5931979644997, 43.1447392526581, 11.55204380580357, 24, 24, 24, 40.92178770949721, 42.17877094972067
23, 4, LR, LR, 65.05924402348425, 10.25911241104673, 109.83618040949034, 21.28811442057292, 0, 0, 0, 40.96301465457083, 42.21912072575017
23, 5, LR, LR, 307.5323286981809, 72.32155978996774, 50.13647493014494, 19.172137164429532, 24, 23, 23, 40.93444909344491, 42.189679218967925
23, 6, LR, LR, 602.2513092808053, 151.2117022796104, 190.62169087556128, 60.887627704326924, 24, 22, 22, 40.90592334494774, 42.1602787456446
23, 7, LR, LR, 14146.14757058185, 2036.343016656534, 348.00947260564016, 143.74037063953492, 24, 24, 24, 40.87743732590529, 42.13091922005571
23, 8, LR, LR, 814.168597399047, 170.8490701881731, 643.6251092445042, 210.3713474025974, 12, 0, 0, 40.848990953375086, 42.17118997912318
23, 9, LR, LR, 170.7956078292153, 58.75990455764183, 320.3282496127996, 136.51768401731928, 0, 0, 0, 40.89012517385257, 42.21140472878999
23, 10, LR, LR, 3460.211200695761, 557.8564324901746, 218.23919387837017, 92.71974649234693, 24, 24, 24, 40.86170952050035, 42.18207088255733
23, 11, LR, LR, 2461.491885455239, 449.7683820847355, 140.91953745927444, 72.32403909935141, 24, 24, 24, 40.833333333333336, 42.15277777777778
23, 12, LR, LR, 483.86595556564123, 167.05233285851025, 250.52735370604734, 125.15911810247749, 24, 6, 6, 40.804996530187374, 42.1235253296322
23, 13, LR, LR, 2899.7138239021165, 823.5529160494328, 375.00837266638786, 193.98457228535355, 24, 24, 24, 40.77669902912621, 42.09431345353675
23, 14, LR, LR, 280.0134844113871, 147.5637556576768, 474.21943187222666, 254.86919157608696, 0, 0, 0, 40.81774081774082, 42.13444213444213
23, 15, LR, LR, 1156.911534527054, 294.5422266624999, 427.1130849102932, 230.96657089359505, 24, 15, 15, 40.78947368421053, 42.10526315789473
23, 16, LR, LR, 579.611304025631, 195.1622733771665, 345.6327530775983, 174.18682205578514, 24, 5, 5, 40.76124567474048, 42.07612456747405
23, 17, LR, LR, 982.5288233751315, 303.3439127152654, 315.9365586488988, 156.3962736061151, 24, 24, 24, 40.73305670816044, 42.047026279391424
23, 18, LR, LR, 54.810365798660854, 19.62586375085234, 265.36824043261663, 136.4971393623737, 0, 0, 0, 40.77401520387008, 42.08707671043538
23, 19, LR, LR, 1105.6487395184893, 276.4722438837312, 415.4285623437066, 200.60409086044518, 24, 9, 9, 40.74585635359116, 42.05801104972376
23, 20, LR, LR, 230.5205075954765, 131.73733823392246, 360.4665895227492, 178.59226508989727, 0, 0, 0, 40.78674948240166, 42.097998619737744
23, 21, LR, LR, 211.85821736144447, 94.00616475224973, 446.2852429470295, 229.7648719879518, 0, 0, 0, 40.827586206896555, 42.137931034482754
23, 22, LR, LR, 88.54833036411641, 30.7488047759684, 386.68034900637537, 192.75683035714286, 0, 0, 0, 40.868366643694, 42.17780840799449
23, 23, LR, LR, 111.09328126862572, 61.99929672229011, 406.72221273657203, 222.26369900173611, 0, 0, 0, 40.909090909090914, 42.21763085399449
23, 24, LR, LR, 384.1795104459431, 158.06340486778956, 391.95261429393713, 179.56744309413583, 0, 0, 0, 40.949759119064005, 42.257398485891265
23, 25, LR, LR, 1103.9783513288392, 354.08663165168906, 628.0103393268057, 253.46284589694656, 22, 20, 20, 40.921595598349384, 42.2283356258597
23, 26, LR, LR, 12471.1308583177, 2056.9243003530005, 487.6536139967532, 176.18877645177162, 24, 24, 24, 40.893470790378004, 42.19931271477663
23, 27, LR, LR, 6191.143531405476, 1350.6880781673685, 694.9097526703994, 270.2532989758403, 24, 24, 24, 40.86538461538461, 42.17032967032967
23, 28, LR, LR, 2582.0699214631404, 709.3916916549313, 786.7423555272604, 334.092734375, 24, 24, 24, 40.83733699382292, 42.141386410432396
