Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
13, 14, LR, LR, 7.134655213240582, 2.304775985824948, 0.013212052582081295, 0.0019000000009934106, 23, 22, 21, 55.541561712846345, 51.25944584382871
13, 15, LR, LR, 2.174397917826963, 0.5529808081742913, 0.00041311820399396584, 5.3333331986020006e-05, 20, 18, 18, 55.471698113207545, 51.19496855345912
13, 16, LR, LR, 10.609863877545342, 2.409360921577684, 0.0, 0.0, 24, 22, 22, 55.40201005025126, 51.13065326633166
13, 17, LR, LR, 7.826960161662383, 2.9995789822570793, 0.0, 0.0, 24, 22, 22, 55.33249686323713, 51.06649937264742
13, 18, LR, LR, 60.94878119556659, 13.914358544939383, 20.93352418719393, 3.446241505940755, 24, 22, 22, 55.26315789473685, 51.00250626566416
13, 19, LR, LR, 50.23312565991836, 15.734190234522007, 24.20966092888677, 4.966466776529948, 15, 16, 15, 55.19399249061326, 50.9386733416771
13, 20, LR, LR, 338.5658720545454, 50.40679237690352, 115.21115939873184, 24.5205078125, 16, 17, 13, 55.125, 50.875
13, 21, LR, LR, 166.51068486327546, 45.2005473762041, 83.87896786441759, 20.595218912760416, 13, 17, 12, 55.0561797752809, 50.811485642946316
13, 22, LR, LR, 209.94970898052716, 43.947638485261386, 7.729338901242487, 1.765326182047526, 13, 14, 12, 54.98753117206982, 50.748129675810475
13, 23, LR, LR, 75.03340212275967, 25.67588464904337, 40.14844687479621, 9.31420186360677, 3, 9, 3, 54.91905354919054, 50.68493150684932
13, 24, LR, LR, 56.46715028038243, 20.940612492047077, 79.55471453136305, 21.13178100585937, 0, 0, 0, 54.975124378109456, 50.74626865671642
13, 25, LR, LR, 145.23443590881664, 48.26225739140063, 105.18756065555787, 32.44491780598958, 5, 10, 5, 54.90683229813664, 50.683229813664596
13, 26, LR, LR, 158.38916821442533, 56.9129147075059, 126.64323248138186, 42.37055257161458, 1, 7, 1, 54.83870967741935, 50.62034739454094
13, 27, LR, LR, 662.8271442057536, 194.2601422393909, 484.02289890734164, 161.71622721354166, 11, 11, 10, 54.770755885997524, 50.55762081784386
13, 28, LR, LR, 1162.2640432312933, 485.7247753247256, 881.2710895821632, 318.47112630208335, 5, 12, 4, 54.70297029702971, 50.495049504950494
13, 29, LR, LR, 937.1040179257911, 518.612753980805, 1120.9199436177412, 410.67688802083336, 0, 5, 0, 54.75896168108776, 50.43263288009888
13, 30, LR, LR, 2240.4096347036766, 1092.8804206544085, 1708.3356422748623, 587.9270182291667, 9, 16, 8, 54.69135802469136, 50.37037037037037
13, 31, LR, LR, 1470.1551581894792, 741.4779797094047, 1468.2102483409296, 551.275390625, 1, 13, 1, 54.62392108508015, 50.308261405672006
13, 32, LR, LR, 1706.886792157269, 641.4890442097889, 1369.8479915669475, 467.79098307291673, 8, 11, 6, 54.556650246305416, 50.24630541871922
