Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,difference_of_RMSE,difference_of_MAE,,,,,,,,,,,
1,50, LR, LR,182.7831043,106.1350322,549.7491907,226.1715799,0,0,0,100,100,366.9660864,120.0365477,,,,,,,,,,,
1,51, LR, LR,339.2841259,159.7479614,670.4000841,267.9050737,0,0,0,100,100,331.1159581,108.1571123,,,,,,,,,,,
1,52, LR, LR,504.1389011,177.3415593,395.704092,177.520761,2,0,0,98.07692308,100,-108.4348091,0.179201676,,,,,,,,,,,
1,53, LR, LR,297.839169,128.1170654,316.6131484,107.8507128,0,3,0,98.11320755,98.11320755,18.77397937,-20.2663526,,,,,,,,,,,
1,54, LR, LR,516.4758176,171.1043738,343.7040682,118.7545766,11,15,11,96.2962963,96.2962963,-172.7717494,-52.34979721,,,,,,,,,,,
1,55, LR, LR,287.4256379,105.0087049,308.9158054,103.3327437,0,1,0,96.36363636,94.54545455,21.49016755,-1.675961163,,,,,,,,,,,
1,56, LR, LR,264.3309682,82.03648277,213.3135245,62.48456489,2,2,2,94.64285714,92.85714286,-51.01744375,-19.55191788,,,,,,,,,,,
1,57, LR, LR,2209.148203,503.5177986,339.5297507,73.34321615,24,24,24,92.98245614,91.22807018,-1869.618452,-430.1745825,,,,,,,,,,,
1,58, LR, LR,38.58656326,25.72640614,402.5710189,76.47051711,0,0,0,93.10344828,91.37931034,363.9844557,50.74411097,,,,,,,,,,,
1,59, LR, LR,576.6872046,143.8590081,359.4829277,69.96104677,13,17,13,91.52542373,89.83050847,-217.2042769,-73.89796133,,,,,,,,,,,
1,60, LR, LR,1470.908358,251.4944862,285.2536473,56.64031587,23,23,23,90,88.33333333,-1185.65471,-194.8541703,,,,,,,,,,,
1,61, LR, LR,153.1406328,48.82863643,111.4900178,34.73812658,5,5,4,88.52459016,86.8852459,-41.65061498,-14.09050986,,,,,,,,,,,
1,62, LR, LR,49.8501915,21.7252786,70.46247823,21.61866383,0,1,0,88.70967742,85.48387097,20.61228673,-0.106614766,,,,,,,,,,,
1,63, LR, LR,6.715410755,6.590343108,45.32955792,12.02686564,0,0,0,88.88888889,85.71428571,38.61414716,5.436522533,,,,,,,,,,,
1,64, LR, LR,0,0,4.099410636,0.960646116,0,0,0,89.0625,85.9375,4.099410636,0.960646116,,,,,,,,,,,
1,65, LR, LR,0,0,1.634021753,0.581746523,0,0,0,89.23076923,86.15384615,1.634021753,0.581746523,,,,,,,,,,,
1,66, LR, LR,0,0,1.071708567,0.425138897,0,0,0,89.39393939,86.36363636,1.071708567,0.425138897,,,,,,,,,,,
1,67, LR, LR,0,0,2.016867474,0.789608843,0,0,0,89.55223881,86.56716418,2.016867474,0.789608843,,,,,,,,,,,
1,68, LR, LR,0,0,2.840061635,1.018302616,0,0,0,89.70588235,86.76470588,2.840061635,1.018302616,,,,,,,,,,,
1,69, LR, LR,0,0,3.003750449,0.977904901,0,0,0,89.85507246,86.95652174,3.003750449,0.977904901,,,,,,,,,,,
1,70, LR, LR,0,0,5.837247861,2.218776478,0,0,0,90,87.14285714,5.837247861,2.218776478,,,,,,,,,,,
1,71, LR, LR,0,0,2.614467435,1.327151637,0,0,0,90.14084507,87.32394366,2.614467435,1.327151637,,,,,,,,,,,
1,72, LR, LR,0,0,0.783889313,0.321797265,0,0,0,90.27777778,87.5,0.783889313,0.321797265,,,,,,,,,,,
1,73, LR, LR,0,0,0.806946895,0.29940335,0,0,0,90.4109589,87.67123288,0.806946895,0.29940335,,,,,,,,,,,
1,74, LR, LR,0,0,1.872073396,0.703825606,0,0,0,90.54054054,87.83783784,1.872073396,0.703825606,,,,,,,,,,,
1,75, LR, LR,0,0,4.089569164,1.44495955,0,0,0,90.66666667,88,4.089569164,1.44495955,,,,,,,,,,,
1,76, LR, LR,0,0,5.71896418,1.667570461,0,0,0,90.78947368,88.15789474,5.71896418,1.667570461,,,,,,,,,,,
1,77, LR, LR,0,0,4.055995137,1.075599988,0,0,0,90.90909091,88.31168831,4.055995137,1.075599988,,,,,,,,,,,
1,78, LR, LR,0,0,2.76534724,1.037100012,0,0,0,91.02564103,88.46153846,2.76534724,1.037100012,,,,,,,,,,,
1,79, LR, LR,0,0,1.369772495,0.571947098,0,0,0,91.13924051,88.60759494,1.369772495,0.571947098,,,,,,,,,,,
1,80, LR, LR,0,0,1.771874096,0.999809384,0,0,0,91.25,88.75,1.771874096,0.999809384,,,,,,,,,,,
1,81, LR, LR,0,0,6.392123471,2.287160165,0,0,0,91.35802469,88.88888889,6.392123471,2.287160165,,,,,,,,,,,
1,82, LR, LR,1.393641445,0.179918337,10.02462331,4.171718597,0,0,0,91.46341463,89.02439024,8.630981865,3.991800261,,,,,,,,,,,
1,83, LR, LR,112.116612,15.01690324,142.7696332,22.81733842,0,0,0,91.56626506,89.15662651,30.65302121,7.80043518,,,,,,,,,,,
1,84, LR, LR,517.8299888,108.4087415,119.8400953,20.63187866,14,9,8,90.47619048,88.0952381,-397.9898935,-87.77686285,,,,,,,,,,,
1,85, LR, LR,141.9517358,36.63829393,111.5350663,28.21346407,2,1,1,89.41176471,87.05882353,-30.41666942,-8.424829856,,,,,,,,,,,
1,86, LR, LR,116.7974516,49.6657129,264.1552734,110.3813232,0,0,0,89.53488372,87.20930233,147.3578218,60.71561034,,,,,,,,,,,
1,87, LR, LR,222.4114193,77.8170257,159.5635139,55.47185253,4,3,3,88.50574713,86.20689655,-62.84790539,-22.34517317,,,,,,,,,,,
1,88, LR, LR,275.0786742,107.2224679,190.0267632,59.47992492,7,15,7,87.5,85.22727273,-85.05191099,-47.74254303,,,,,,,,,,,
1,89, LR, LR,508.3491011,133.3812162,285.0447934,65.35821115,17,13,11,86.51685393,84.26966292,-223.3043077,-68.02300501,,,,,,,,,,,
1,90, LR, LR,362.0086586,101.2464564,342.9377533,74.63352865,3,6,3,85.55555556,83.33333333,-19.07090527,-26.61292774,,,,,,,,,,,
1,91, LR, LR,971.350606,275.2234649,424.6740494,96.64964313,23,24,23,84.61538462,82.41758242,-546.6765567,-178.5738217,,,,,,,,,,,
1,92, LR, LR,589.9916836,158.5788462,490.506905,120.2831061,3,6,3,83.69565217,81.52173913,-99.48477868,-38.29574013,,,,,,,,,,,
1,93, LR, LR,157.8103274,84.64779902,471.617479,113.0524816,0,0,0,83.87096774,81.72043011,313.8071516,28.4046826,,,,,,,,,,,
1,94, LR, LR,301.7211961,103.9502856,297.2664274,82.02836619,2,4,2,82.9787234,80.85106383,-4.454768696,-21.92191946,,,,,,,,,,,
1,95, LR, LR,79.56354391,69.10279154,296.2123059,101.1160714,0,0,0,83.15789474,81.05263158,216.648762,32.01327989,,,,,,,,,,,
1,96, LR, LR,121.8579415,44.9673916,367.43462,94.44955729,0,0,0,83.33333333,81.25,245.5766786,49.48216569,,,,,,,,,,,
1,97, LR, LR,121.3889248,39.0745286,349.5175981,107.4001878,0,0,0,83.50515464,81.44329897,228.1286732,68.32565924,,,,,,,,,,,
1,98, LR, LR,17.44218617,6.17770707,249.8103939,77.75334439,0,0,0,83.67346939,81.63265306,232.3682077,71.57563732,,,,,,,,,,,
1,99, LR, LR,5.763003674,1.13921195,291.7775359,81.29665305,0,0,0,83.83838384,81.81818182,286.0145322,80.1574411,,,,,,,,,,,
1,100, LR, LR,0.080798557,0.024739892,281.6441377,110.0848477,0,0,0,84,82,281.5633391,110.0601078,,,,,,,,,,,
1,101, LR, LR,0,0,432.800511,132.1677112,0,0,0,84.15841584,82.17821782,432.800511,132.1677112,,,,,,,,,,,
1,102, LR, LR,0,0,349.538657,84.34352312,0,0,0,84.31372549,82.35294118,349.538657,84.34352312,,,,,,,,,,,
1,103, LR, LR,0,0,390.0541658,137.9149423,0,0,0,84.46601942,82.52427184,390.0541658,137.9149423,,,,,,,,,,,
1,104, LR, LR,0,0,454.6402649,150.2290963,0,0,0,84.61538462,82.69230769,454.6402649,150.2290963,,,,,,,,,,,
1,105, LR, LR,0,0,551.9386649,138.9794364,0,0,0,84.76190476,82.85714286,551.9386649,138.9794364,,,,,,,,,,,
1,106, LR, LR,0,0,324.608817,81.82687953,0,0,0,84.90566038,83.01886792,324.608817,81.82687953,,,,,,,,,,,
1,107, LR, LR,0,0,185.6833533,63.33565463,0,0,0,85.04672897,83.17757009,185.6833533,63.33565463,,,,,,,,,,,
1,108, LR, LR,0,0,178.6750872,61.67269086,0,0,0,85.18518519,83.33333333,178.6750872,61.67269086,,,,,,,,,,,
1,109, LR, LR,0,0,200.9272037,54.23084513,0,0,0,85.32110092,83.48623853,200.9272037,54.23084513,,,,,,,,,,,
1,110, LR, LR,0,0,36.46937762,9.939861919,0,0,0,85.45454545,83.63636364,36.46937762,9.939861919,,,,,,,,,,,
2,1, LR, LR,0,0,0.752918795,0.418816233,0,0,0,85.58558559,83.78378378,0.752918795,0.418816233,,,,,,,,,,,
2,2, LR, LR,0,0,0.841543278,0.434960217,0,0,0,85.71428571,83.92857143,0.841543278,0.434960217,,,,,,,,,,,
2,3, LR, LR,0,0,0.873034827,0.445307592,0,0,0,85.84070796,84.07079646,0.873034827,0.445307592,,,,,,,,,,,
2,4, LR, LR,0,0,1.071654954,0.486522154,0,0,0,85.96491228,84.21052632,1.071654954,0.486522154,,,,,,,,,,,
2,5, LR, LR,0,0,0.92508511,0.540055356,0,0,0,86.08695652,84.34782609,0.92508511,0.540055356,,,,,,,,,,,
2,6, LR, LR,0,0,0.648275668,0.381543925,0,0,0,86.20689655,84.48275862,0.648275668,0.381543925,,,,,,,,,,,
2,7, LR, LR,0,0,0.819118344,0.426864834,0,0,0,86.32478632,84.61538462,0.819118344,0.426864834,,,,,,,,,,,
2,8, LR, LR,0,0,0.900148103,0.433056764,0,0,0,86.44067797,84.74576271,0.900148103,0.433056764,,,,,,,,,,,
2,9, LR, LR,0,0,1.23839025,0.442495209,0,0,0,86.55462185,84.87394958,1.23839025,0.442495209,,,,,,,,,,,
2,10, LR, LR,0,0,1.034078464,0.496081786,0,0,0,86.66666667,85,1.034078464,0.496081786,,,,,,,,,,,
2,11, LR, LR,0,0,1.125428585,0.502502874,0,0,0,86.7768595,85.12396694,1.125428585,0.502502874,,,,,,,,,,,
2,12, LR, LR,0,0,1.877027104,0.745440338,0,0,0,86.8852459,85.24590164,1.877027104,0.745440338,,,,,,,,,,,
2,13, LR, LR,0,0,1.344775378,0.47475121,0,0,0,86.99186992,85.36585366,1.344775378,0.47475121,,,,,,,,,,,
2,14, LR, LR,0,0,0.578684626,0.179935601,0,0,0,87.09677419,85.48387097,0.578684626,0.179935601,,,,,,,,,,,
2,15, LR, LR,0,0,0.373484681,0.103788295,0,0,0,87.2,85.6,0.373484681,0.103788295,,,,,,,,,,,
2,16, LR, LR,0,0,0.372037686,0.138785538,0,0,0,87.3015873,85.71428571,0.372037686,0.138785538,,,,,,,,,,,
2,17, LR, LR,0,0,0.3646322,0.140738583,0,0,0,87.4015748,85.82677165,0.3646322,0.140738583,,,,,,,,,,,
2,18, LR, LR,0,0,0.236121206,0.090666667,0,0,0,87.5,85.9375,0.236121206,0.090666667,,,,,,,,,,,
2,19, LR, LR,0,0,0.290835434,0.115899992,0,0,0,87.59689922,86.04651163,0.290835434,0.115899992,,,,,,,,,,,
2,20, LR, LR,0,0,0.241437861,0.118224136,0,0,0,87.69230769,86.15384615,0.241437861,0.118224136,,,,,,,,,,,
2,21, LR, LR,0,0,0.392046692,0.193169227,0,0,0,87.78625954,86.25954198,0.392046692,0.193169227,,,,,,,,,,,
2,22, LR, LR,0,0,0.945527173,0.371752774,0,0,0,87.87878788,86.36363636,0.945527173,0.371752774,,,,,,,,,,,
2,23, LR, LR,0,0,0.332021805,0.091300002,0,0,0,87.96992481,86.46616541,0.332021805,0.091300002,,,,,,,,,,,
2,24, LR, LR,0,0,0.33053027,0.152831432,0,0,0,88.05970149,86.56716418,0.33053027,0.152831432,,,,,,,,,,,
2,25, LR, LR,0,0,0.880002175,0.319398288,0,0,0,88.14814815,86.66666667,0.880002175,0.319398288,,,,,,,,,,,
2,26, LR, LR,0,0,1.502671034,0.603073167,0,0,0,88.23529412,86.76470588,1.502671034,0.603073167,,,,,,,,,,,
2,27, LR, LR,0,0,0.599459242,0.201958825,0,0,0,88.32116788,86.86131387,0.599459242,0.201958825,,,,,,,,,,,
2,28, LR, LR,0,0,1.235419567,0.462699996,0,0,0,88.4057971,86.95652174,1.235419567,0.462699996,,,,,,,,,,,
2,29, LR, LR,0,0,2.735036724,0.943773724,0,0,0,88.48920863,87.05035971,2.735036724,0.943773724,,,,,,,,,,,
2,30, LR, LR,0,0,4.044864895,1.32805509,0,0,0,88.57142857,87.14285714,4.044864895,1.32805509,,,,,,,,,,,
2,31, LR, LR,0,0,0.442551506,0.189248282,0,0,0,88.65248227,87.23404255,0.442551506,0.189248282,,,,,,,,,,,
2,32, LR, LR,0,0,5.605501299,1.928915534,0,0,0,88.73239437,87.32394366,5.605501299,1.928915534,,,,,,,,,,,
2,33, LR, LR,0,0,10.43473597,2.468382628,0,0,0,88.81118881,87.41258741,10.43473597,2.468382628,,,,,,,,,,,
2,34, LR, LR,0,0,6.114974244,2.150862455,0,0,0,88.88888889,87.5,6.114974244,2.150862455,,,,,,,,,,,
2,35, LR, LR,0,0,59.39653275,17.60559993,0,0,0,88.96551724,87.5862069,59.39653275,17.60559993,,,,,,,,,,,
2,36, LR, LR,0,0,162.1809026,48.45326676,0,0,0,89.04109589,87.67123288,162.1809026,48.45326676,,,,,,,,,,,
2,37, LR, LR,0,0,162.3174418,49.79074331,0,0,0,89.11564626,87.75510204,162.3174418,49.79074331,,,,,,,,,,,
2,38, LR, LR,0,0,112.8597027,44.56518264,0,0,0,89.18918919,87.83783784,112.8597027,44.56518264,,,,,,,,,,,
2,39, LR, LR,0,0,93.35812856,32.69929548,0,0,0,89.26174497,87.91946309,93.35812856,32.69929548,,,,,,,,,,,
2,40, LR, LR,0,0,101.529578,43.32103271,0,0,0,89.33333333,88,101.529578,43.32103271,,,,,,,,,,,
2,41, LR, LR,0,0,154.8522355,49.68175099,0,0,0,89.40397351,88.0794702,154.8522355,49.68175099,,,,,,,,,,,
2,42, LR, LR,0,0,112.8881132,38.48602876,0,0,0,89.47368421,88.15789474,112.8881132,38.48602876,,,,,,,,,,,
