NO,Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw, s3m01, s3m02, s3m03, s3m04, s3m05, s3m06, s3m07, s3m08, s3m09, s3m10, s3m11, s3m12, s3m13, s3m14, s3m15, 
1,0,0,79.68184514,81.91098297,97.56328528,74.82452393,93.85375977,88.54175719,7.069816707,18.16683297,0.737849672,4.936122987,1.910615278,0.873876973,8.303808445,6.570509368,1.166738157,4.080727888,2.486775612,3.242333135,1.922454419,0.704028013,2.890791884,2.173927493,3.778718968,1.121225438, ,,,,,,,,,,,,,,,
2,0,1,77.60121482,83.89473793,94.91452561,76.93418592,98.87822112,90.01850818,7.470631419,7.081026974,0.877659616,5.056239852,3.06075165,1.756887554,5.283946162,7.7049764,1.695703843,3.262121513,3.411161423,3.168482183,2.491766948,1.285774994,4.622829612,3.207527769,3.667222509,2.375230353, ,,,,,,,,,,,,,,,
3,0,2,82.1289266,92.29830661,91.04499308,72.96392402,91.70957747,91.79540752,6.297285913,6.26265231,1.136467234,3.678378933,3.474160821,1.602675647,4.552524099,5.830080733,1.928474975,4.047833359,3.138948568,2.810264675,2.379972649,1.11877399,5.026424049,3.790952257,3.126619081,2.586968847, ,,,,,,,,,,,,,,,
4,0,3,77.15808042,79.80062439,83.77872805,78.68336,87.88445191,80.47341807,3.915414823,4.975740792,0.86046938,2.762744392,2.565844764,1.089604071,3.183108768,4.64026597,1.264320076,4.076171153,1.82964325,2.12558492,2.666010405,0.76840098,2.713618203,2.49325403,2.011319899,2.204835834, ,,,,,,,,,,,,,,,
5,0,4,71.52105147,70.56182547,83.73457329,70.48852664,84.5401196,74.54372546,2.053350311,5.401859465,0.626361541,1.997967561,2.136265977,0.682885294,1.86137708,3.635184814,0.60188031,3.575870895,1.607403328,1.663209025,1.51675041,0.447502556,1.829673953,1.463105011,1.6186755,1.071558216, ,,,,,,,,,,,,,,,
6,0,5,75.02852958,78.49922772,84.431356,65.43511619,82.48823571,77.15054667,1.364785496,3.430770242,0.733787976,2.427502102,2.346507454,0.726304955,1.398585756,3.20147752,0.681190114,1.781483591,1.455428958,1.570971225,1.439000574,0.532550812,1.77021482,1.597029787,1.508768801,1.205206516, ,,,,,,,,,,,,,,,
7,0,6,90.1160827,88.95382892,103.8663434,85.58936786,104.7703284,92.82858106,1.835098267,3.800007229,1.10551547,2.386005335,3.63630313,0.881457249,2.017054517,4.024425083,0.770877149,2.396046898,1.728281453,1.877795676,2.248388708,0.885769052,1.877005742,1.818789237,2.195500767,1.317602912, ,,,,,,,,,,,,,,,
8,0,7,101.4128591,97.98433574,102.6131438,88.08167792,106.1113085,97.03728693,2.160933478,5.162711296,1.737298956,2.337137545,4.490604176,1.536040008,1.885121221,5.092491053,1.259739712,2.798743148,2.554961757,1.520275409,2.384747456,1.206246389,2.033342794,1.821195429,2.356188558,1.627813414, ,,,,,,,,,,,,,,,
9,0,8,69.74568153,66.07920462,77.50476444,59.9937207,76.4088443,64.65597028,1.402181306,4.316985567,1.781671554,1.884730469,6.747925592,0.847993485,2.267649532,4.390665248,1.398752881,2.001526569,1.51296709,1.108764648,2.740317897,1.141674211,1.223573495,1.569248102,2.019992138,1.076138247, ,,,,,,,,,,,,,,,
10,0,9,54.03261519,50.26546567,63.36653646,48.28871663,69.29948252,49.95257128,1.085624566,2.574641366,0.833240446,1.522326965,2.912388852,0.548460992,1.029634022,3.485931699,0.922570621,0.720942248,0.585636929,0.376546938,1.033879864,0.453132537,0.325460175,0.575765822,0.964898984,0.357111091, ,,,,,,,,,,,,,,,
