New Model,PolyR
3.903545037,4.186043738
30.5999423,31.31374847
535.9733834,546.5838299
982.4418228,1119.204979
817.7184868,1131.152493
1382.919253,1677.498996
807.2421398,1058.848615
935.9461966,1161.128162
728.7711989,1151.189881
629.2999502,631.9990302
61.4148346,61.58869861
0,6.729498908
0,0.000104589
0,0.131045839
21.4745603,32.53120604
257.3024146,293.49312
506.5415588,576.3976737
589.1772747,647.4466913
293.072252,302.9660895
307.4894768,432.0209686
315.4825541,307.8152887
724.3152962,850.0415324
883.410627,925.7047163
275.1935763,296.7688177
3.44900741,3.991214073
10.3498563,11.71469075
254.5809443,323.6165728
521.0823658,709.696183
1040.947415,1297.878038
421.6773366,664.4028067
1027.225918,1237.984893
859.2164603,1131.957885
587.1545442,787.3429844
695.1284406,762.9732215
312.6332044,313.3546426
23.59991099,27.87916859
1.532703978,21.40103161
0.12148904,0.301821258
0,0.928407835
0,0.147435651
14.29484292,14.71683642
176.1097165,182.0372014
288.321056,599.9658309
61.94797262,71.71490491
265.2267184,551.0112641
327.9372709,596.8978687
576.5257274,1282.543525
544.7653124,862.6294045
366.4189047,554.6619403
45.51213485,67.95710931
0.69698207,18.89054198
24.63636753,24.89639231
431.8189866,435.1630647
864.1367433,1044.582698
980.7441618,1068.041642
444.6979981,569.2004136
341.127523,574.8573536
391.3543261,455.873117
616.527547,609.3109249
413.9212718,476.9635054
150.7504116,150.7114471
58.88498142,58.88494003
27.02765382,27.06856014
3.45525996,3.472527815
0.335226382,22.46321763
4.305801487,459.7384334
2.17532442,2.9519391
263.5567158,282.7295648
156.6497433,247.4640043
180.89504,309.6827332
302.9948015,529.1407263
211.9938324,312.2828982
710.7891764,727.5705984
123.6137754,436.5314756
34.37045699,40.9877859
24.63489506,68.44326425
0.043157946,4.082311362
0.002220511,0.013102163
0.219817627,0.219470842
82.84159949,84.42215561
145.1778311,163.382858
526.1849592,614.6741349
936.8263012,993.4440676
994.5124587,1193.894907
299.8675154,754.0218263
100.5967747,153.2193688
293.399415,291.1272213
388.6673707,441.466658
572.6760788,609.1913903
1137.035228,1332.956234
678.1787683,772.8824645
62.05593144,61.55491912
0.5428695,2.135095262
0,0.004443988
4.4536721,4.518623712
55.38682256,55.26432877
29.81018515,31.66616484
554.0018344,555.0069593
270.1698795,335.8189008
37.45930677,163.9120783
44.30477768,177.0933362
197.5537175,215.5196525
190.965534,188.9952513
42.42710356,300.4638162
49.64504593,305.4437856
256.2352303,365.129252
38.54477545,42.87794598
3.93969725,4.961386941
0,0.000914688
0.64074412,0.640785098
52.17200611,85.88248971
373.5939977,374.6139289
782.5610529,787.687407
1228.527991,1268.521028
880.4749143,1241.60628
1111.983933,1144.071897
552.2605275,572.5424707
50.06418985,95.3139398
167.9931716,223.9454461
333.9360564,368.2787815
213.7494347,303.4497552
462.4374971,575.0698053
453.1855543,755.7447303
181.2543918,181.1029725
21.5969972,21.62516624
61.13311333,61.06530323
19.98133956,55.1764222
55.41152351,165.8115349
72.14121245,83.52477552
16.96753322,16.95834501
3.13530244,3.13710781
0.336379103,0.360981678
14.28334131,87.37709984
68.47277316,72.81589932
15.56765122,21.7397495
314.0786028,324.8698514
28.47823839,46.25781905
28.27511506,181.486985
22.6501591,34.45897736
87.07987888,162.0448962
8.99901564,9.401062163
3.850890068,303.6863461
12.86589759,74.4916876
97.35670342,286.6024449
1.317562267,114.3157024
0,0.244087429
0,0.001183965
11.62534202,13.14168311
220.2058613,226.5516578
584.5858223,679.8190205
1081.049191,1047.534741
1162.155944,1227.581234
871.8239813,882.340609
1190.517897,1336.984758
810.8170495,810.6871529
471.9844701,535.4913963
487.4317452,1143.836378
1073.699124,1247.879142
781.8971826,953.8785448
511.0815511,800.8267368
285.0077248,402.5128196
1409.270883,1408.472283
1050.943952,1050.550016
335.7863013,335.6610164
33.38937813,33.02551751
178.2492286,203.0791278
132.2507603,223.4963496
154.4661704,155.2160454
96.79895081,96.85145288
21.00135431,20.96664831
21.88129668,37.65635816
69.03614947,233.6340701
19.34837584,258.0582465
163.4136612,176.4142362
36.75009044,37.38580863
53.70635187,933.9410416
75.50514919,189.3389854
240.7885417,310.5998655
479.1198094,615.3440421
26.39662596,27.29729953
17.68855602,463.3576638
4.718531429,260.4437332
1.979337509,284.066694
0.04655,1701.377926
0,0.285703989
0,0.003076386
0,0.03093261
144.1073249,144.8884521
269.4295812,280.614993
840.6239251,945.9161925
840.0160932,913.966572
943.7726078,945.5162848
640.2174782,643.5514425
672.2859674,698.371372
643.4449539,659.7314239
447.3993573,566.8810173
1647.587523,2273.104451
1114.118678,1485.178182
1445.858407,1791.453967
1619.994657,1986.664396
1126.264068,1577.368388
1028.829384,1884.358507
2075.58549,2423.850204
1078.358806,1273.587382
264.7352885,264.6116327
356.9544085,463.106923
301.1033799,460.7155859
137.0984598,188.9699095
319.9627266,319.8511127
287.7701159,287.5612946
87.91021127,161.3856984
49.15849518,71.74631534
37.43387591,367.8110504
105.8743156,111.3416538
43.09697987,170.0546006
41.41317379,110.2733051
194.1469858,219.1721918
386.0140149,675.8493757
351.6189684,510.2002488
50.23329132,77.93846547
39.80638414,116.1989132
4.311907413,161.2524188
0.416410413,7.205652624
0.043194892,347.3825794
0.094474976,2.39848442
0,0.001410364
0,0.000760009
0,0.000465782
1.908187394,1.927357496
47.65016727,54.27312318
804.7874838,1008.980806
1509.612086,1555.760575
1367.767764,1380.389671
998.2015323,999.863068
456.3419308,458.4657061
296.5809678,296.4314744
684.3456472,688.0867084
709.4120446,721.566543
1717.696068,2032.310741
999.5126378,2234.145332
1595.043237,2846.518731
1788.089208,2624.229456
2298.982477,4547.268288
1805.754677,2174.895313
1876.234673,2665.811237
1990.144352,2586.770376
872.7684099,1183.198678
721.6709249,1079.19405
1009.208097,1010.318349
678.4850813,683.2269201
792.3645283,793.2088314
672.0963714,672.7920057
264.216114,362.2354009
218.2103061,536.8392078
108.2700224,709.5593794
286.6599396,498.40219
153.1213076,239.9966761
22.22193443,35.47025276
282.8182125,397.0952297
154.0316081,338.1108692
175.9669889,270.0105037
156.9092499,616.571374
45.28961411,71.59443909
38.53941792,74.46908694
19.30494432,33.27919719
0.070948262,19.20493206
0,0.256877803
0,2.44E-05
0,0.00279221
7.645747131,9.901311022
3.122082035,12.21338031
1.668350154,3.20261785
9.538339437,9.618661279
124.6282877,125.0784707
490.6278637,523.6552683
1011.309173,1125.075155
840.1135149,863.4532131
632.8268595,628.2615544
159.0139965,159.3072937
107.7801908,107.1925737
397.9782676,415.8747956
332.9367888,750.5020627
537.5790337,738.2797587
1304.403012,1726.794687
1136.143939,1693.113111
1629.389242,2017.336482
2233.006345,2598.111428
2010.318841,2811.993199
1365.342087,1606.246494
1272.54973,1840.695035
678.2545996,1136.750458
705.7696685,1173.585748
1028.325843,1035.561787
538.7069988,680.8603782
205.1584932,746.8624155
701.6050191,1034.832996
532.0223843,958.6833184
326.204026,786.1483052
475.4595118,2515.820669
395.0344096,2464.687181
423.1123149,716.1301292
264.214925,403.731188
354.6221383,758.9458102
280.2634059,545.3105453
44.2596833,376.668562
97.53936506,172.2582986
193.7349514,308.9918399
29.06082614,315.7843339
1.446821303,127.4503351
0.080549997,153.5540082
0,0.878681637
0.365721867,0.369798527
3.065419927,4.586126597
35.86148299,38.03053562
68.86962672,93.06642717
95.30250797,270.7309108
28.76902227,66.45886517
57.20835097,57.66016141
115.1473663,161.1080815
586.5981478,917.8398341
1042.281356,1022.586288
802.9571521,803.2212271
563.6603478,564.0393008
226.551484,226.0126208
298.0176173,301.956304
410.0370485,819.4125273
488.040038,877.5821941
628.9528063,896.421107
619.3203074,907.8982296
799.4070642,1016.668967
946.4279241,1161.171611
1696.896558,1859.398573
2745.119129,2632.387148
1394.54055,2435.258189
940.0842452,1226.300574
646.8946387,986.149834
713.6603492,902.2678385
888.3582485,903.0830727
887.1196128,887.1284931
370.5001883,828.6360831
932.5879405,1270.962436
464.1313127,1610.181096
1243.282882,1242.543764
1123.791343,1123.636676
509.0131195,802.1078525
282.0768333,398.2103255
463.623187,732.6435095
326.0453198,685.491394
246.7290306,295.5933716
128.9436785,362.4712185
269.4863527,325.3705424
68.04132652,152.491131
1.082705345,109.2587917
0.054166985,41.35986519
0.383709359,17.66291197
0.039932457,0.153966439
0,0.031212549
13.39225872,15.02655562
8.22770414,1583.255034
0.154673598,0.154630904
0,0.004630998
1.196448037,1.574161928
151.9137841,202.7554576
292.8240778,336.0914404
182.6944585,267.842999
385.6397037,790.1826539
112.4448679,200.3532401
91.91694768,423.6359708
254.5611368,417.0326758
596.8420238,672.0731621
222.4564271,233.0177172
934.9076661,922.3107139
1109.029166,1120.363337
877.7860376,959.1811096
374.8913724,524.545014
442.8707763,643.3862155
523.9565106,1009.454219
506.8587868,1059.135486
431.0369045,654.2540203
352.8577323,831.7045138
925.6927755,1563.067281
