Place,Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
2293,36,41, KNN, KNN,112.9580512,31.95575543,497.5203513,221.4105957,100,99.78194505
2294,36,42, KNN, KNN,176.6731809,51.41095253,532.0360263,202.6030971,100,99.7820401
2295,36,43, LR, LR,248.4731422,87.00209904,568.4587491,247.0174134,100,99.78213508
2296,36,44, KNN, KNN,188.7386163,75.97477455,993.7780858,374.4660701,100,99.78222997
2297,36,45, KNN, KNN,326.1229041,80.40442135,697.8644281,174.4330078,100,99.78232477
2298,36,46, RF, LR,483.4430419,171.6094684,668.8195212,313.4505313,100,99.7824195
2299,36,47, RF, LR,305.7464815,128.0905573,545.3807193,236.6500966,100,99.78251414
2300,36,48, KNN, SVR,152.7875808,63.19008482,550.16718,251.4552469,100,99.7826087
2301,36,49, KNN, KNN,299.539909,77.67579583,580.6932447,231.6847873,100,99.78270317
2302,36,50, RF, RF,126.8066758,39.27631229,470.1167049,182.5460568,100,99.78279757
2303,36,51, RF, SVR,180.1581713,47.8526435,415.4401365,145.5193249,100,99.78289188
2304,36,52, KNN, KNN,295.6101456,95.89341759,642.377726,216.6947115,100,99.78298611
2305,36,53, RF, RF,301.3396215,104.2537795,575.4068319,231.1015191,100,99.78308026
2306,36,54, KNN, KNN,475.2877816,158.911671,483.3046981,180.3711833,100,99.78317433
2307,36,55, RF, KNN,191.1192103,70.80573497,428.6308435,168.2955295,100,99.78326831
2308,36,56, LR, SVR,257.3642536,79.26676643,589.9877872,265.8606592,100,99.78336222
2309,36,57, KNN, KNN,329.7163584,117.3822724,762.0524011,326.6881061,100,99.78345604
2310,36,58, LR, LR,237.5796062,84.60013679,613.7822189,279.3531967,100,99.78354978
2311,36,59, LR, LR,353.7102764,143.746224,883.4076505,399.3052885,100,99.78364344
2312,36,60, RF, RF,940.4165751,320.498165,1069.766217,384.4154297,100,99.78373702
2313,36,61, RF, RF,512.8831733,173.0243752,887.9900056,384.6463623,100,99.78383052
2314,36,62, RF, KNN,368.5496634,134.680833,755.422159,366.5440076,100,99.78392394
2315,36,63, LR, RF,234.6695613,56.68791286,857.7186359,356.4682453,100,99.78401728
2316,36,64, KNN, KNN,63.33476948,18.59613627,1793.630787,662.8981445,100,99.78411054
2317,36,65, KNN, KNN,54.31840514,16.51364153,3171.578849,1055.924576,100,99.78420371
2318,37,1, LR, LR,0,0,325.9117602,96.84627946,100,99.78429681
2319,37,2, SVR, NN,22.98347464,6.204883328,316.5739777,95.83464281,100,99.78438982
2320,37,3, NN, NN,23.39382666,18.011983,267.1771305,95.30383495,100,99.78448276
2321,37,4, NN, SVR,24.93184798,8.713836344,287.1512151,85.80692291,100,99.78457561
2322,37,5, RF, RF,92.04450498,23.07636964,437.1310401,118.2013278,100,99.78466839
2323,37,6, KNN, KNN,123.5537576,40.5584758,306.9321029,135.7603824,100,99.78476108
2324,37,7, RF, RF,363.524645,84.20033461,537.0478808,187.5931897,100,99.7848537
2325,37,8, RF, RF,187.0750571,73.50782837,705.9018732,248.6090845,100,99.78494624
2326,37,9, KNN, KNN,236.9442698,73.14829884,487.6513149,197.8804306,100,99.78503869
2327,37,10, LR, RF,97.63350513,32.01618203,346.2066579,144.2174609,100,99.78513107
2328,37,11, RF, RF,61.20613315,21.86194406,300.0877829,97.28105049,100,99.78522337
2329,37,12, RF, RF,373.472702,98.66302398,409.6905151,162.4355358,100,99.78531559
2330,37,13, RF, KNN,271.920008,81.73759899,583.8615098,233.1974432,100,99.78540773
2331,37,14, KNN, SVR,167.3590936,55.13384111,400.8246667,205.1444937,100,99.78549979
2332,37,15, KNN, KNN,188.744211,74.42682738,577.4436993,276.3710622,100,99.78559177
2333,37,16, LR, LR,263.9955677,94.90075433,569.5543205,223.8550751,100,99.78568367
2334,37,17, RF, KNN,226.061895,82.77038227,390.8904175,157.5051794,100,99.78577549
2335,37,18, KNN, KNN,140.4033024,57.72753471,441.5284989,240.521229,100,99.78586724
2336,37,19, RF, RF,326.31601,144.7783142,578.8183084,243.5503049,100,99.7859589
2337,37,20, KNN, KNN,205.1895089,93.75851308,605.530416,319.5333024,100,99.78605049
2338,37,21, RF, KNN,249.9148422,113.5039396,544.0335585,322.5599626,100,99.786142
2339,37,22, RF, KNN,312.8225605,135.3236971,551.3101806,280.7865135,100,99.78623343
2340,37,23, RF, RF,343.852607,167.6251528,758.7962742,411.5440151,100,99.78632479
2341,37,24, RF, RF,271.8055054,117.3199871,1252.388602,648.5607798,100,99.78641606
2342,37,25, KNN, KNN,718.2222334,298.4824848,1111.649615,563.7965528,100,99.78650726
2343,37,26, RF, RF,131.9107707,56.52594193,1116.001497,498.4248798,100,99.78659838
2344,37,27, KNN, KNN,152.5326324,53.0350827,511.6771655,225.5224822,100,99.78668942
2345,37,28, RF, RF,189.1912867,45.03461839,489.3521819,173.1611225,100,99.78678038
2346,37,29, RF, RF,285.0559751,83.25797106,562.4672968,153.4816504,100,99.78687127
2347,37,30, NN, SVR,34.46381526,11.53486084,562.7932592,153.2685136,100,99.78696208
2348,37,31, NN, SVR,56.11877204,14.6098467,317.2293281,110.6073365,100,99.78705281
2349,37,32, NN, NN,43.49448866,15.13531373,311.2070667,127.9966461,100,99.78714347
2350,37,33, LR, LR,203.0671058,72.67899823,246.1139231,104.4601768,100,99.78723404
2351,37,34, KNN, KNN,286.3225964,64.75461874,316.6943637,111.5967188,100,99.78732454
2352,37,35, KNN, SVR,79.04637847,28.17731046,152.4256243,65.56945471,100,99.78741497
2353,37,36, RF, SVR,172.9140731,53.18409372,500.6827503,152.4237073,100,99.78750531
2354,37,37, LR, LR,332.4725972,118.150063,578.6895985,185.7586726,100,99.78759558
2355,37,38, LR, LR,178.7681277,86.48513498,461.2614046,208.0590413,100,99.78768577
2356,37,39, KNN, KNN,232.4518926,75.4496334,484.4967133,179.6405189,100,99.78777589
2357,37,40, KNN, KNN,150.5184574,56.78071055,431.4859095,129.6097533,100,99.78786593
2358,37,41, KNN, NN,208.7869659,64.22707486,349.6203062,114.4047207,100,99.78795589
2359,37,42, KNN, KNN,116.6403073,39.92515158,428.8767126,144.8082079,100,99.78804578
2360,37,43, RF, RF,141.7975973,46.22309164,405.0205705,163.4651611,100,99.78813559
2361,37,44, RF, LR,328.7344721,114.8083964,710.7478735,260.2177269,100,99.78822533
2362,37,45, KNN, SVR,196.2492917,45.45464097,631.5160163,192.3997304,100,99.78831499
2363,37,46, KNN, KNN,227.1386741,74.81486195,536.4651625,256.0404412,100,99.78840457
2364,37,47, KNN, KNN,52.93999775,16.52890404,450.5193115,197.813501,100,99.78849408
2365,37,48, RF, SVR,96.42444768,22.20280437,727.4176665,241.0261168,100,99.78858351
2366,37,49, KNN, KNN,59.8500259,19.46708969,501.3434489,187.6846723,100,99.78867287
2367,37,50, KNN, KNN,266.6879049,80.41835254,580.3521397,237.5553977,100,99.78876215
2368,37,51, KNN, KNN,269.6733787,69.53435404,369.57304,163.223647,100,99.78885135
2369,37,52, KNN, RF,251.4469266,58.51371326,581.6752135,181.2292019,100,99.78894048
2370,37,53, KNN, SVR,159.4703894,46.18703549,455.2361146,172.7982552,100,99.78902954
2371,37,54, KNN, SVR,170.7301882,54.672145,518.5272145,227.7157661,100,99.78911852
2372,37,55, RF, RF,284.0792817,81.78889761,448.1939255,196.1011368,100,99.78920742
2373,37,56, RF, KNN,139.0675983,65.37687997,464.0793791,204.5167123,100,99.78929625
2374,37,57, KNN, KNN,242.7686862,103.5645982,638.8189102,282.1135975,100,99.789385
2375,37,58, LR, LR,182.8925321,81.30902381,487.4890971,200.8264786,100,99.78947368
2376,37,59, KNN, KNN,192.9976934,86.71400149,523.885341,222.5171948,100,99.78956229
2377,37,60, KNN, KNN,381.0884377,151.9374929,764.0390915,302.7812686,100,99.78965082
2378,37,61, RF, KNN,348.0835911,117.2306516,1211.943593,413.8633996,100,99.78973928
2379,37,62, KNN, KNN,992.8684318,289.1408502,1129.033768,450.9755046,100,99.78982766
2380,37,63, RF, KNN,774.4786387,225.5015989,870.2289635,359.0043447,100,99.78991597
2381,37,64, LR, LR,263.3477855,87.27687029,1550.635914,484.6109633,100,99.7900042
2382,37,65, LR, LR,207.7220255,82.88684508,2551.719162,837.7411573,100,99.79009236
2383,38,1, RF, KNN,1.057587645,0.266762136,439.5708651,122.8286577,100,99.79018044
2384,38,2, NN, SVR,8.23791685,2.330060477,393.7417226,101.7414335,100,99.79026846
2385,38,3, NN, NN,22.24471324,12.20042387,346.1978968,106.8376842,100,99.79035639
2386,38,4, NN, SVR,38.06797699,9.537411842,335.2032997,106.8300863,100,99.79044426
2387,38,5, KNN, KNN,90.39464483,33.76184093,284.1754042,110.3582602,100,99.79053205
